Question,Entity-Type
How many ancient civilizations are recognized to have developed independently?,CARDINAL
What year did the Indus Valley Civilization approximately begin?,CARDINAL
Around what century did the Mayan civilization reach its peak population?,CARDINAL
In which millennium BCE did the Sumerian civilization flourish?,CARDINAL
How many major cities were part of the Harappan civilization at its height?,CARDINAL
What is estimated to be the population of the Roman Empire at its peak in 100 AD?,CARDINAL
Around what year did the Egyptian Old Kingdom period end?,CARDINAL
In which year did the Han Dynasty, a significant era in Chinese civilization, begin?,CARDINAL
Approximately how many years did the Minoan civilization exist from its beginning to its collapse?,CARDINAL
What was the approximate population of the Aztec capital Tenochtitlan at the time of Spanish conquest?,CARDINAL
How many pyramids are there in Egypt as part of ancient Egyptian civilization legacy?,CARDINAL
In which century BCE did the Gupta Empire, known for a golden age of Hindu culture, begin its reign?,CARDINAL
What year marks the fall of Constantinople and the end of the Byzantine Empire?,CARDINAL
Approximately how many miles long was the Great Wall of China at its greatest extent during various Chinese dynasties?,CARDINAL
How many years did the Inca civilization last before Spanish conquest?,CARDINAL
In which century BCE did the Olmec civilization, often considered the "mother culture" of Mesoamerica, start to flourish?,CARDINAL
What is the estimated population of the Indus Valley cities like Mohenjo-Daro at their peak?,CARDINAL
Around what year did the Kingdom of Aksum reach its height as one of the world's greatest civilizations?,CARDINAL
How many emperors ruled during the entire period of the Roman Empire from 27 BC to 476 AD in the West?,CARDINAL
What is the approximate area, in square kilometers, covered by the Angkor Wat complex in Cambodia, a symbol of Khmer civilization at its peak?,CARDINAL
When was the rise of the Indus Valley Civilization?,DATE
What date marks the fall of the Western Roman Empire?,DATE
On what date did the construction of the Great Wall of China begin?,DATE
Which year is considered the start of the Bronze Age in Mesopotamia?,DATE
In which year did the Mayan civilization reach its peak?,DATE
When was the first dynasty, the Xia Dynasty, believed to have started according to traditional Chinese historiography?,DATE
What date marks the end of the Neolithic period in Ancient Egypt?,DATE
On what date was the city of Caral in Peru founded, one of the oldest civilizations in the Americas?,DATE
In which year did the construction of Stonehenge begin?,DATE
When did the Gupta Empire reach its zenith, marking a Golden Age in Indian history?,DATE
Which date signifies the beginning of the Shang Dynasty in China, known for their bronze work and writing system?,DATE
What is the estimated date for the establishment of the city of Jericho, one of the world's oldest cities?,DATE
On which date did the Olmec civilization begin to flourish in Mesoamerica?,DATE
In what year was the first known Egyptian pharaoh, Menes, believed to have unified Upper and Lower Egypt?,DATE
What is the approximate date for the beginning of the Harappan phase of the Indus Valley Civilization?,DATE
Which year marks the establishment of the Kingdom of Aksum as a major power in Africa?,DATE
When did the construction of the Terracotta Army in China, associated with the first emperor Qin Shi Huang, begin?,DATE
What date is often given for the beginning of the Iron Age in Europe?,DATE
In which year did the Inca Empire reach its maximum territorial extent under the rule of Pachacuti?,DATE
When was the Akkadian Empire, founded by Sargon of Akkad, established, marking it as the first ancient empire of Mesopotamia?,DATE
What event marked the beginning of the Indus Valley Civilization?,EVENT
When did the Agricultural Revolution occur, leading to the rise of early civilizations?,EVENT
Which event signified the fall of the Roman Empire in the West?,EVENT
What significant event triggered the Bronze Age collapse across Eurasia and North Africa?,EVENT
Can you name an event that led to the decline of the Mayan Civilization?,EVENT
During which event did Mesopotamian city-states first start engaging in trade on a large scale?,EVENT
Which event is considered as the starting point for the construction of the Great Wall of China by different Chinese states and empires over centuries?,EVENT
What was the event that led to the establishment of the Maurya Empire, one of India's largest empires?,EVENT
Can you identify an event that marked the transition from Ancient Egyptian civilization to Greek rule?,EVENT
Which event is often associated with the beginning of the Neolithic Revolution and the rise of early civilizations worldwide?,EVENT
What event led to the establishment of the first known urban settlement in Mesopotamia, Uruk?,EVENT
Can you name an event that marked the unification of Upper and Lower Egypt under one ruler, leading to the development of Ancient Egyptian civilization?,EVENT
Which significant event contributed to the rapid expansion of the Persian Empire during its early years?,EVENT
What was the event known as that led to the decline of the Harappan Civilization in the Indian subcontinent?,EVENT
During which event did the Aztec civilization begin to expand rapidly and establish their capital Tenochtitlan?,EVENT
Can you identify an event that marked the end of the Shang Dynasty and the rise of the Zhou Dynasty, leading to significant changes in Chinese civilization?,EVENT
Which event is often associated with the beginning of the Iron Age in Europe, marking a shift in technology and warfare that affected many civilizations?,EVENT
What event led to the downfall of the Mycenaean Civilization during the Late Bronze Age collapse?,EVENT
Can you name an event that marked the rise of the Inca Empire as a dominant civilization in South America?,EVENT
Which significant event is associated with the beginning of the Hellenistic period, following the death of Alexander the Great and leading to cultural changes across the Mediterranean world and Near East?,EVENT
What are the major architectural landmarks of the Mayan Civilization?,FAC
