Question,Entity-Type
What is the average temperature increase in degrees Celsius that led to the last ice age?,CARDINAL
How many major climate zones are recognized globally?,CARDINAL
Approximately how many parts per million (ppm) of CO2 were present in the atmosphere during the pre-industrial era?,CARDINAL
In what year was the Intergovernmental Panel on Climate Change (IPCC) established?,CARDINAL
What percentage of the Earth's surface is covered by oceans, which play a significant role in climate regulation?,CARDINAL
How many gigatons of carbon dioxide are emitted annually from human activities?,CARDINAL
What is the average increase in global temperature in degrees Celsius since the late 19th century due to human-induced greenhouse gas emissions?,CARDINAL
Approximately how many billion metric tons of ice melt each year from Greenland's ice sheet contributing to sea-level rise?,CARDINAL
In which year did the Earth experience its warmest recorded temperatures according to modern record-keeping methods starting in 1850?,CARDINAL
How many feet has the global average sea level risen since the beginning of the 20th century?,CARDINAL
What percentage of glaciers worldwide are currently receding due to climate change?,CARDINAL
Approximately how many trillion metric tons of ice have been lost from Antarctica in recent years?,CARDINAL
In what year did the United Nations Framework Convention on Climate Change (UNFCCC) come into force?,CARDINAL
How many countries are party to the Paris Agreement as of 2023?,CARDINAL
What is the approximate number of days in a year that exceed 95 degrees Fahrenheit at locations across the United States, due to climate change?,CARDINAL
By how many centimeters has the global average sea level risen since 1880?,CARDINAL
How many billion metric tons of carbon dioxide are absorbed by forests globally each year through photosynthesis?,CARDINAL
What is the approximate percentage increase in atmospheric methane levels compared to pre-industrial times?,CARDINAL
How many feet above sea level is the highest point on Earth, where climate conditions differ significantly from those at lower altitudes?,CARDINAL
In what year did the first international treaty related to climate change (the Montreal Protocol) come into force?,CARDINAL
When was the first comprehensive climate system model developed?,DATE
What year did the Intergovernmental Panel on Climate Change (IPCC) release its first assessment report?,DATE
In which year were the Kyoto Protocol negotiations concluded?,DATE
During what date range did the Little Ice Age primarily occur, affecting global climate systems?,DATE
When was the Paris Agreement adopted by the United Nations Framework Convention on Climate Change (UNFCCC)?,DATE
What is the earliest recorded date of a significant El Niño event in historical records?,DATE
On which specific date did the Earth reach its highest average temperature according to NASA data?,DATE
Which year marked the beginning of systematic satellite measurements for climate studies?,DATE
When was the concept of the greenhouse effect first introduced scientifically?,DATE
What is the earliest recorded date of a major volcanic eruption that significantly impacted global climate systems?,DATE
On what date did the United Nations Climate Change Conference in Copenhagen take place?,DATE
Which year saw the largest annual increase in atmospheric carbon dioxide concentration recorded by Mauna Loa Observatory?,DATE
When was the term "global warming" first used in scientific literature to describe the phenomenon of climate change?,DATE
What is the earliest known date when the effects of industrialization began influencing global climate systems significantly?,DATE
On what date did the Montreal Protocol on Substances that Deplete the Ozone Layer come into force?,DATE
Which year was the first time Earth's average temperature exceeded a 1°C increase from pre-industrial levels according to meteorological records?,DATE
When were the first climate models indicating potential future impacts of global warming published in scientific journals?,DATE
What date marks the beginning of the Holocene epoch, which has seen significant human-caused climate change?,DATE
On what specific date did the United Nations Climate Change Conference in Paris conclude with a landmark agreement?,DATE
Which year was the first time Arctic sea ice extent fell below 4 million square kilometers, setting a new record low?,DATE
What events led to the formation of El Niño in 2015?,EVENT
How did the Dust Bowl event affect climate systems in North America during the 1930s?,EVENT
Can you describe the impacts of the Little Ice Age on global climate patterns?,EVENT
Which historical volcanic eruption had the most significant impact on short-term climate changes?,EVENT
What major weather event caused widespread disruption to European agriculture and society in the year 536 AD?,EVENT
How did the Medieval Warm Period affect global temperatures compared to modern times?,EVENT
Can you explain how hurricanes like Hurricane Katrina have influenced local climate systems?,EVENT
What role did the Industrial Revolution play as an event in altering global climate patterns?,EVENT
Which significant meteorological event led to the implementation of stricter building codes in Florida following its occurrence?,EVENT
How has the occurrence of severe drought events over the last century affected global food security?,EVENT
Could you discuss the effects of the 2010 Russian heat wave on regional and global weather patterns?,EVENT
What major climate system changes were observed after the Mount Pinatubo eruption in 1991?,EVENT
How did the Year Without a Summer (1816) event influence global agricultural practices for years to follow?,EVENT
Can you describe how events like the Great Flood of 1927 affected local ecosystems and communities?,EVENT
What significant climate-related event led to the creation of the Intergovernmental Panel on Climate Change (IPCC)?,EVENT
How did the widespread use of chlorofluorocarbons (CFCs) as an industrial event lead to ozone depletion issues in Antarctica?,EVENT
Could you discuss how events such as the 2010 Pakistan floods impact long-term agricultural productivity and livelihoods?,EVENT
What major weather event prompted the United Nations Framework Convention on Climate Change (UNFCCC)?,EVENT
How did the series of extreme cold spells during winter 2021 affect energy consumption in Europe compared to previous years?,EVENT
Can you explain how events like the Great Barrier Reef bleaching events have impacted marine biodiversity and climate systems?,EVENT
What is the function of the Intertropical Convergence Zone in climate systems?,FAC
How does the El Niño Southern Oscillation affect global weather patterns?,FAC
Can you explain the role of the Hadley Cell in distributing heat around the Earth?,FAC
What impact do trade winds have on ocean currents and climate zones?,FAC
Describe how the Coriolis effect influences wind patterns and ocean circulation.,FAC
How does the polar front contribute to weather systems at mid-latitudes?,FAC
Explain the significance of the jet stream in shaping weather conditions across continents.,FAC
What role do monsoons play in seasonal climate variations around the world?,FAC
Can you detail how ocean gyres influence local and global climates?,FAC
How does the subtropical ridge affect rainfall patterns and drought occurrences?,FAC
Describe the impact of the Gulf Stream on the climate of Western Europe.,FAC
What is the role of mountain ranges in creating rain shadows and influencing regional climates?,FAC
Explain how the Walker circulation contributes to the development of El Niño events.,FAC
How do cold ocean currents affect the temperature and precipitation patterns along coastal areas?,FAC
Can you discuss the effect of land-sea breeze cycles on local weather conditions near coastlines?,FAC
What role does the Antarctic Circumpolar Current play in isolating Antarctica's climate from other continents?,FAC
Describe how the North Atlantic Drift influences marine ecosystems and fisheries.,FAC
How do desert climates form, and what factors maintain their arid conditions?,FAC
Explain the impact of the Kuroshio Current on typhoon formation and coastal weather in East Asia.,FAC
What is the role of sea ice extent variations in regulating global climate patterns?,FAC
How does climate change affect agriculture in Brazil?,GPE
What are the primary causes of deforestation in Indonesia?,GPE
How has the Arctic region been impacted by rising global temperatures?,GPE
Which countries are part of the Paris Agreement on climate change?,GPE
What role does China play in global efforts to combat climate change?,GPE
In which African country is Lake Chad located, and how has its size changed due to climate change?,GPE
How have the coral reefs off the coast of Australia been affected by climate-induced ocean warming?,GPE
What measures are being taken by European Union countries to reduce greenhouse gas emissions?,GPE
Which South American GPE is known for having the Amazon rainforest, a critical component in regulating global climate systems?,GPE
How does the Indian Monsoon system impact agriculture and water resources in India?,GPE
In what ways has Canada's government committed to reducing carbon emissions?,GPE
What are the major environmental impacts of melting glaciers in Greenland?,GPE
How do El Niño events influence weather patterns across North America?,GPE
What steps have been taken by the United Kingdom to transition towards renewable energy sources?,GPE
Which African GPEs are most vulnerable to climate change and why?,GPE
What role does Russia play in global efforts regarding carbon emissions reduction?,GPE
How has urbanization in Mexico influenced local climate systems?,GPE
In what ways have policies in Japan addressed the challenge of reducing industrial pollution?,GPE
Which European country is leading in wind energy production as a response to climate change challenges?,GPE
What impact has climate change had on biodiversity within the borders of Madagascar?,GPE
What language is primarily used in climate system reports published by the IPCC?,LANGUAGE
How does the use of technical jargon in scientific climate studies affect public understanding?,LANGUAGE
In what language were the first climate models documented?,LANGUAGE
Which language has the largest collection of historical climate data records?,LANGUAGE
