Question,Entity-Type
How many years did the Cold War last from 1947 to 1991?,CARDINAL
In what year did the Berlin Wall fall during the Cold War era?,CARDINAL
How many nuclear weapons were estimated to be possessed by the United States and Soviet Union combined at the peak of the arms race in the Cold War?,CARDINAL
What was the approximate population, in millions, of the Soviet Union at the start of the Cold War in 1947?,CARDINAL
During the Cuban Missile Crisis in October 1962, how many days did it last before a resolution was reached?,CARDINAL
How many countries were part of NATO by the end of the Cold War in 1991?,CARDINAL
In what year was Sputnik, the first artificial satellite launched by the Soviet Union during the Space Race, sent into orbit?,CARDINAL
What year did the Warsaw Pact dissolve as a direct result of the Cold War's conclusion?,CARDINAL
How many US troops were deployed in Vietnam at the height of American involvement during the Cold War period?,CARDINAL
In what year was the Treaty on the Non-Proliferation of Nuclear Weapons, aimed at reducing nuclear armament, signed by several countries involved in the Cold War?,CARDINAL
During the Korean War (1950-1953), how many years did this conflict last involving United Nations forces and North Korea backed by China and Soviet Union?,CARDINAL
How many million tons of grain was the United States estimated to have exported to the Soviet Union each year as part of the détente policy in the 1970s?,CARDINAL
In what year was Nikita Khrushchev, a significant figure during the Cold War period, ousted from power in the Soviet Union?,CARDINAL
How many satellites were launched by both the US and USSR between 1957 (with Sputnik) and the end of the Cold War in 1991 as part of their Space Race efforts?,CARDINAL
What year did Mikhail Gorbachev, who played a key role in ending the Cold War through his policies of glasnost and perestroika, become General Secretary of the Communist Party of the Soviet Union?,CARDINAL
How many nuclear tests were conducted by both superpowers combined during the height of the arms race in the late 1950s to mid-1960s?,CARDINAL
What year was the Strategic Arms Limitation Talks (SALT) agreement signed between the US and USSR, marking one of the first efforts to limit nuclear arsenals during the Cold War era?,CARDINAL
How many countries were part of the Warsaw Pact at its peak membership before its dissolution in 1991?,CARDINAL
In what year did the Soviet Union invade Afghanistan, an event that significantly escalated tensions between the US and USSR during the Cold War period?,CARDINAL
During the Cuban Missile Crisis, how many days was it from when the crisis began until a resolution was reached between Kennedy and Khrushchev?,CARDINAL
When did the Cold War officially begin?,DATE
What year was the Berlin Wall constructed?,DATE
In which year did the Cuban Missile Crisis occur?,DATE
On what date was the Treaty of Warsaw signed to formally end World War II in Europe?,DATE
Which year saw the launch of Sputnik, marking the start of the Space Race?,DATE
When was the Korean War armistice agreement signed?,DATE
In which year did Nikita Khrushchev deliver his "Secret Speech" denouncing Stalin's cult of personality?,DATE
What date marks the beginning of the Vietnam War?,DATE
On what date was Mikhail Gorbachev elected General Secretary of the Communist Party, leading to significant reforms in the Soviet Union?,DATE
When did the Berlin Wall officially fall?,DATE
Which year saw the dissolution of the Soviet Union, effectively ending the Cold War era?,DATE
What is the exact date when NATO was founded during the early years of the Cold War?,DATE
In which year did the Warsaw Pact dissolve, signifying a major shift in post-Cold War geopolitics?,DATE
On what specific day did the United States drop atomic bombs on Hiroshima and Nagasaki, an event that indirectly set the stage for the Cold War?,DATE
What date marks the establishment of West Germany as a sovereign state after World War II?,DATE
When was the Marshall Plan officially adopted by the U.S. Congress to aid European recovery post-World War II?,DATE
On what day did the Soviet Union invade Afghanistan, an action that escalated tensions with the United States and its allies during the Cold War era?,DATE
What is the date of the first summit meeting between Ronald Reagan and Mikhail Gorbachev in Geneva?,DATE
In which year was the Intermediate-Range Nuclear Forces Treaty (INF) signed by the U.S. and Soviet Union to eliminate intermediate-range nuclear missiles?,DATE
