Question,Entity-Type
What is the typical number of pins on a DDR4 SDRAM module?,CARDINAL
How many cores does an AMD Ryzen 9 processor usually have?,CARDINAL
In a standard QWERTY keyboard layout for computers, how many keys are there in total?,CARDINAL
What is the maximum number of USB devices that can be connected to a single host controller without hubs?,CARDINAL
How many bits does a PCIe Gen4 x16 slot transfer at once per direction?,CARDINAL
A standard SATA cable used in hard drives and SSDs typically has how many pins?,CARDINAL
What is the default width in bits of the internal bus on an Intel Core i7 processor?,CARDINAL
In terms of speed, what is the highest transfer rate in Gbit/s for PCIe Gen3 lanes?,CARDINAL
How many watts is a typical 80 Plus Bronze certified power supply rated at?,CARDINAL
What is the maximum capacity in GB for a single DDR4 RAM module according to JEDEC standards?,CARDINAL
How many layers does a standard PCB used in motherboards usually have?,CARDINAL
A typical modern laptop SSD can reach up to how many MB/s read speeds?,CARDINAL
What is the default clock speed in MHz of a USB 3.0 port?,CARDINAL
In graphics cards, what is the highest number of CUDA cores found on an NVIDIA GeForce RTX 3080 as of its release year?,CARDINAL
How many pins are there on a standard ATX power supply connector (24-pin)?,CARDINAL
What is the maximum resolution in pixels supported by HDMI 2.1 for 120Hz refresh rate displays?,CARDINAL
A typical high-end gaming mouse can have a DPI sensitivity up to how many dots per inch?,CARDINAL
How many USB ports are typically found on a standard ATX motherboard as of 2023?,CARDINAL
What is the default voltage in volts for an Intel CPU's Vcore when running under load?,CARDINAL
A typical modern NVMe SSD can reach up to how many GB/s read speeds on PCIe Gen4 lanes?,CARDINAL
When was the first hard disk drive (HDD) invented?,DATE
What year did Intel release the 4004 microprocessor?,DATE
In which year was the floppy disk introduced by IBM?,DATE
Can you tell me the date when Apple released its first Macintosh computer?,DATE
When did Microsoft introduce the first version of Windows OS with a graphical user interface?,DATE
Which year saw the introduction of USB (Universal Serial Bus)?,DATE
What is the launch date for the first solid-state drive (SSD) for personal computers?,DATE
Can you provide the release date of the Intel Core i7 processor series?,DATE
When was the first widely-used mouse patented by Douglas Engelbart?,DATE
On what date did AMD introduce its first 64-bit processor architecture, Opteron?,DATE
What year marked the introduction of the world's first commercial computer, UNIVAC I?,DATE
In which year did IBM introduce the PC/AT, featuring the Intel 80286 CPU?,DATE
Can you tell me when the first Pentium processor was released by Intel?,DATE
When was the Ethernet network technology patented and introduced to the public?,DATE
What is the release date for the first version of USB flash drives?,DATE
On what date did IBM announce its System/360, a mainframe computer system that revolutionized computing?,DATE
Which year saw the creation of PCI (Peripheral Component Interconnect)?,DATE
