Question,Entity-Type
How many megapixels does the average smartphone camera have in 2023?,CARDINAL
What is the typical refresh rate in Hz for high-end LCD TVs this year?,CARDINAL
In the last decade, how many times has the storage capacity of USB flash drives increased approximately?,CARDINAL
How many inches is the screen size of the smallest tablet currently available on the market?,CARDINAL
As of 2023, what is the average number of smart home devices owned by a household with high-tech adoption rates?,CARDINAL
What percentage of new smartphones sold in 2022 came equipped with foldable screens?,CARDINAL
How many gigabytes does the internal storage start at for most budget Android phones released this year?,CARDINAL
In terms of battery capacity, what is the median mAh found in today's smartwatches?,CARDINAL
What is the average number of watts used by a 4K Ultra HD TV when operating at peak brightness levels?,CARDINAL
How many different models of earbuds are currently manufactured by leading tech companies worldwide?,CARDINAL
In 2023, what is the typical number of speakers included in an entry-level soundbar system?,CARDINAL
What is the average refresh rate increase (in Hz) from a standard to a gaming monitor?,CARDINAL
How many terabytes does the highest capacity hard drive for desktop computers reach as of this year?,CARDINAL
In the last five years, by what factor has the maximum resolution on consumer-grade digital cameras improved approximately?,CARDINAL
What is the average number of hours of battery life advertised for new headphones in 2023?,CARDINAL
How many different wireless charging standards are currently competing for market dominance in smartphones?,CARDINAL
As of 2023, what percentage of laptops sold have touchscreens as a feature compared to previous years?,CARDINAL
What is the typical pixel density (in PPI) of OLED displays used in high-end phones today?,CARDINAL
How many times has the speed of USB flash drives increased from USB 1.0 to USB 3.2 generation 2x2?,CARDINAL
In terms of frequency, how many GHz does a top-of-the-line gaming laptop's processor typically run at as of this year?,CARDINAL
When was the first smartphone with a touch screen released?,DATE
What date did Apple unveil the original iPad?,DATE
On what date did Sony introduce the Walkman to the US market?,DATE
Which year saw the launch of the first consumer-grade digital camera by Logitech?,DATE
Can you tell me the date when Nintendo released the Wii console?,DATE
When was the first commercial LCD TV available on the market?,DATE
What is the release date for the first iPod Touch?,DATE
In which year did Samsung introduce its first Galaxy smartphone?,DATE
On what date did Toshiba launch the world's first laptop computer, the T1100?,DATE
Could you provide the date when the first Kindle e-reader was announced by Amazon?,DATE
When did Microsoft release the first version of Surface Pro?,DATE
What is the exact date that Google introduced its first Pixel phone?,DATE
On which day did LG announce the world's first 4K Ultra HD TV?,DATE
Can you name the date when HP launched its first TouchSmart PC?,DATE
Which year was marked by the release of the first Amazon Echo smart speaker?,DATE
