Question,Entity-Type
What is the number of recognized Native American tribes in the United States?,CARDINAL
How many official languages does Canada have?,CARDINAL
In how many countries is Spanish spoken as an official language?,CARDINAL
Approximately how many dialects are there in China?,CARDINAL
What percentage of the world's population lives in urban areas according to recent estimates?,CARDINAL
How many major culinary regions can be identified in Italy based on cultural geography?,CARDINAL
In Japan, what is the number of different types of traditional housing styles that exist due to regional differences?,CARDINAL
About how many indigenous languages were spoken in Brazil before European contact?,CARDINAL
What is the approximate number of distinct ethnic groups present in Nigeria?,CARDINAL
How many states are there in India, each with its own unique cultural geography?,CARDINAL
How many different time zones does Russia span due to its vast geographical size?,CARDINAL
About how many national parks are there in the United States that preserve various cultural and natural resources?,CARDINAL
What is the number of UNESCO World Heritage Sites located within France as of 2023?,CARDINAL
How many main regions can Mexico be divided into based on their unique cultures, languages, and traditions?,CARDINAL
Approximately how many different types of traditional dwellings exist in Africa due to varying climatic and cultural conditions across the continent?,CARDINAL
In China, how many provinces recognize Tibetan as an official language alongside Mandarin for governance purposes?,CARDINAL
How many countries in Europe have more than one official language, reflecting their diverse linguistic heritage?,CARDINAL
What is the number of major dialect groups within Arabic, which are geographically distributed across North Africa and the Middle East?,CARDINAL
About how many square kilometers does the Amazon rainforest cover, serving as a significant cultural and geographical area for indigenous tribes?,CARDINAL
How many different types of nomadic pastoralists can be identified in Central Asia based on their unique cultural practices and livestock herding techniques?,CARDINAL
When was the first World Heritage Site designated by UNESCO under the Cultural Geography category?,DATE
What year did the Silk Road officially come to an end due to decreased maritime trade in Europe?,DATE
In which year did the Incan Empire reach its peak, significantly influencing Andean cultural geography?,DATE
On what date was the ancient city of Rome founded according to tradition and historical belief?,DATE
When did the Great Wall of China begin to be constructed, marking a significant period in Chinese defensive cultural geography?,DATE
What year saw the beginning of construction for the Egyptian pyramids which have become symbols of Ancient Egypt's cultural landscape?,DATE
In what year was the city of Kyoto designated as the capital of Japan, significantly impacting its cultural geography?,DATE
When did the Renaissance begin to flourish in Italy, dramatically shaping European cultural geography?,DATE
What date marks the fall of Constantinople, leading to significant changes in Eastern European cultural geography?,DATE
Which year marked the start of the Viking Age, influencing Scandinavian and Northern Europe's cultural geography?,DATE
In what year was the Treaty of Tordesillas signed, dividing newly discovered lands outside Europe between Portugal and Spain, affecting global cultural geography?,DATE
When did the Maurya Empire reach its peak under Ashoka in India, impacting South Asian cultural geography?,DATE
What date is considered the beginning of the Industrial Revolution in Britain, which has had a profound impact on the world's cultural geography?,DATE
In what year was Machu Picchu rediscovered by Hiram Bingham, bringing new attention to Incan cultural geography?,DATE
When did the Tang Dynasty begin its rule over China, significantly shaping East Asian cultural geography?,DATE
