Question,Entity-Type
What is the highest elevation recorded in the Himalayas?,CARDINAL
How many major landforms are there in North America?,CARDINAL
What is the approximate depth of the Mariana Trench in meters?,CARDINAL
How many square miles does the Sahara Desert cover approximately?,CARDINAL
What percentage of Earth's surface is covered by mountains?,CARDINAL
How many active volcanoes are estimated to be present in Indonesia?,CARDINAL
The Grand Canyon is how many miles long?,CARDINAL
How many islands make up the Galapagos Archipelago?,CARDINAL
What is the average width in kilometers of the Great Barrier Reef?,CARDINAL
How many years ago was the Yellowstone Caldera last active?,CARDINAL
How many feet above sea level is Mount Everest's peak?,CARDINAL
The Amazon Rainforest covers approximately how many square miles?,CARDINAL
How many major rivers flow through the Tibetan Plateau?,CARDINAL
What is the approximate area in square kilometers of the Great Victoria Desert?,CARDINAL
"How many national parks are there in Yellowstone, known for its geothermal landforms?",CARDINAL
The Dead Sea's surface is how many meters below sea level?,CARDINAL
How many cubic miles of water does Lake Superior hold approximately?,CARDINAL
What percentage of the Earth’s surface is desert landform?,CARDINAL
How many square kilometers does the Tibetan Plateau cover roughly?,CARDINAL
"What is the length in kilometers of the Great Wall of China, a human-made landform?",CARDINAL
When was the Grand Canyon first formed according to geological studies?,DATE
What year did the formation of the Himalayas begin?,DATE
In which year was the last major earthquake recorded that significantly altered the landscape of the Andes Mountains?,DATE
"When did the creation process of the Great Barrier Reef start, as estimated by scientists?",DATE
On what date were the Moeraki Boulders first officially documented in New Zealand?,DATE
What is the latest date on which a significant glacial movement was recorded in the Alps that reshaped its landscape?,DATE
Can you provide the year when Mount Everest's height was last officially measured and confirmed by scientists?,DATE
"When did the formation of the Death Valley start, based on geological evidence?",DATE
What year saw the first discovery of the unique landforms known as the Devil's Marbles in Australia?,DATE
On what date were the Uluru monoliths recognized as a sacred site under Indigenous Australian law for the first time?,DATE
When did the lava fields of Iceland see their last major formation period according to geologists?,DATE
What is the earliest recorded date when the White Cliffs of Dover's erosion rate was measured by scientists?,DATE
"In which year did the creation of the Carlsbad Caverns begin, as per geological studies?",DATE
On what date were the Danakil Depression's volcanic activities last reported to have created new landforms in Ethiopia?,DATE
When was the latest significant landslide recorded that changed the landscape of the Taroko Gorge in Taiwan?,DATE
What year did the scientific community first suggest the age of Meteor Crater in Arizona based on impact evidence?,DATE
Can you provide the date when the Great Basin's oldest rock formation was dated through radiometric dating techniques?,DATE
When was the last major volcanic eruption that significantly shaped the Hawaiian Islands recorded by scientists?,DATE
What is the earliest known date that the Badlands of South Dakota were recognized as having unique landform characteristics?,DATE
"On what date did the geological survey of the Chocolate Hills in the Philippines first begin, marking their scientific exploration?",DATE
How was the Grand Canyon formed?,EVENT
What caused the formation of Mount Everest?,EVENT
When did the last major earthquake occur in Yellowstone National Park?,EVENT
What triggered the creation of the Great Barrier Reef?,EVENT
"When did the last ice age end, significantly shaping many current landforms?",EVENT
What event led to the creation of the Dead Sea's unique landscape?,EVENT
How did the eruption of Mount St. Helens alter its surrounding landform in 1980?,EVENT
Which volcanic event created the island of Surtsey off the coast of Iceland?,EVENT
"When was the last time a major landslide occurred at Niagara Falls, changing its face?",EVENT
What weather event is responsible for the shaping of the Uluru (Ayers Rock) formation over millions of years?,EVENT
How did the Ice Age contribute to the creation of drumlins in North America and Europe?,EVENT
Which catastrophic event led to the formation of the Channeled Scablands in Washington state?,EVENT
"What geological event caused the sinking of the ancient city of Pavlopetri, creating an underwater landform off the coast of Greece?",EVENT
"When did the last major flood occur on the Missouri River, impacting its landforms and ecosystem?",EVENT
How did the eruption of Krakatoa impact the surrounding landscape and climate in Indonesia?,EVENT
What event led to the formation of Devil's Tower as a geological wonder in Wyoming?,EVENT
"Which earthquake significantly altered the landform around the Aral Sea, contributing to its rapid shrinking?",EVENT
When was the last major glacial movement that shaped the fjords along Norway's coast?,EVENT
How did the retreat of glaciers after the Ice Age create the Great Lakes?,EVENT
What are the major landforms found in the Grand Canyon?,FAC
How was the formation of Mount Everest influenced by tectonic activity?,FAC
Can you describe the unique features of Death Valley's landscape?,FAC
What processes contribute to the erosion seen at the White Cliffs of Dover?,FAC
In what way do glaciers shape the landforms in Glacier National Park?,FAC
How does the Mississippi Delta represent a deltaic landform?,FAC
What is significant about the landforms found in the Great Barrier Reef?,FAC
"Can you explain the formation of Uluru, also known as Ayers Rock?",FAC
What are the primary geological processes that form the canyons in Cappadocia?,FAC
