Question,Entity-Type
When did India gain independence from British rule?,CARDINAL
How many African countries gained independence between 1950 and 1965?,CARDINAL
What year marked the end of French Indochina as a colonial entity?,CARDINAL
In what year was Algeria granted independence from France?,CARDINAL
How many years did it take for Indonesia to fully achieve its independence after the end of World War II?,CARDINAL
Which decade saw the peak number of decolonization processes globally?,CARDINAL
What percentage of the world's population lived in newly independent countries by 1965?,CARDINAL
In which year did the United Nations adopt the Declaration on the Granting of Independence to Colonial Countries and Peoples?,CARDINAL
How many Portuguese colonies achieved independence in Africa during the 1970s?,CARDINAL
What was the approximate population of Ghana at the time of its independence in 1957?,CARDINAL
In what year did the Belgian Congo gain independence, becoming the Democratic Republic of the Congo?,CARDINAL
By how many millions did India's population increase between gaining independence from Britain and the turn of the century (2000)?,CARDINAL
How many years passed between the start of the Algerian War of Independence and Algeria's actual independence?,CARDINAL
What was the approximate number of British troops stationed in Palestine in 1947 before its partition?,CARDINAL
In which year did Kenya gain independence after a struggle against British rule?,CARDINAL
Approximately how many people were living in Singapore at the time of its independence from Malaysia in 1965?,CARDINAL
How many years elapsed between the beginning of the Mau Mau Uprising and Kenya's independence?,CARDINAL
In what year did Portugal finally recognize Mozambique’s independence following a lengthy liberation war?,CARDINAL
By how much did the population of Guinea increase from its independence in 1958 to 2000?,CARDINAL
What was the approximate number of Dutch troops involved in suppressing Indonesian nationalists during the National Revolution that ended with Indonesia's independence in 1949?,CARDINAL
When did India achieve independence from British rule?,DATE
What year marked the independence of Algeria from France?,DATE
In which year did Ghana (formerly Gold Coast) gain its independence?,DATE
Can you provide the date when Kenya became independent from British colonial rule?,DATE
What is the specific date when Nigeria declared its independence in 1960?,DATE
When did Vietnam's war for independence against French colonization officially end?,DATE
On what date did the Portuguese colony Mozambique gain independence?,DATE
Which year saw the decolonization of Malaysia from British control?,DATE
Can you give me the exact date when Ceylon (now Sri Lanka) became independent in 1948?,DATE
What was the date of Zambia's declaration of independence from Britain?,DATE
When did Cambodia achieve independence from France during its decolonization process?,DATE
On which year did Tunisia gain full sovereignty following French colonial rule?,DATE
Which date marks the start of Namibia's independence from South African administration?,DATE
In what year was Libya declared independent after Italian colonization ended?,DATE
Can you name the exact day when Somalia gained its independence in 1960?,DATE
