Question,Entity-Type
What is the population of Tokyo, one of the world's largest urban economies?,CARDINAL
How many countries are part of the European Union which has a significant impact on global economic geography?,CARDINAL
In 2019, how much did China contribute to the global GDP growth in terms of percentage points?,CARDINAL
What is the approximate number of megacities worldwide that play a crucial role in shaping the world's economy?,CARDINAL
How many states in the United States are considered major agricultural hubs influencing regional economic geography?,CARDINAL
By what percentage did oil prices increase in 2020 due to geopolitical tensions affecting global economic geography?,CARDINAL
What is the approximate area, in square kilometers, of the Amazon rainforest which plays a critical role in environmental and economic concerns?,CARDINAL
How many major ports are there along the coast of China that facilitate its position as the world's largest exporter?,CARDINAL
In 2018, how many foreign direct investment (FDI) projects were initiated in Germany, known for its strong industrial base?,CARDINAL
What is the total number of Special Economic Zones (SEZs) in India designed to promote industrial growth?,CARDINAL
How much did the GDP of Brazil decrease by percentage points during the 2015-2016 recession?,CARDINAL
As of 2023, how many Fortune Global 500 companies have headquarters in Tokyo, reflecting its economic significance?,CARDINAL
What is the approximate number of people living below the poverty line in Sub-Saharan Africa affecting regional economic development plans?,CARDINAL
How many years has it been since the first oil well was drilled in Pennsylvania's Oil Creek Valley, marking the beginning of modern petroleum industry geography?,CARDINAL
By what percentage did the unemployment rate decrease in Spain from 2014 to 2023, showcasing recovery patterns post-economic crisis?,CARDINAL
What is the total land area covered by the Sahara Desert, influencing economic activities and settlement patterns in North Africa?,CARDINAL
How many kilometers of coastline does Canada have, providing extensive resources for fishing and trade routes?,CARDINAL
In terms of percentage, how much has urbanization increased globally from 1950 to present, reshaping economic geography?,CARDINAL
What is the number of countries participating in the Belt and Road Initiative led by China, aiming to boost regional connectivity and economic growth?,CARDINAL
How many million barrels per day does Saudi Arabia produce as one of the largest oil producers, impacting global energy markets and economic geography?,CARDINAL
When was the Industrial Revolution in Britain officially considered to have begun?,DATE
What year marked the beginning of the Great Depression globally?,DATE
In which year did China officially join the World Trade Organization (WTO)?,DATE
Which year is often cited as the start of the Eurozone debt crisis?,DATE
On what date was the Bretton Woods Conference held in 1944 to set up a new framework for international economic cooperation?,DATE
What specific year led to the fall of the Berlin Wall and symbolically ended the Cold War, impacting global geopolitics and economics?,DATE
When did the East Asian financial crisis start affecting several countries' economies in the late 20th century?,DATE
On which date was the North American Free Trade Agreement (NAFTA) implemented, significantly changing trade relations among Canada, Mexico, and the United States?,DATE
What year saw the creation of the euro as a common currency for many EU member states?,DATE
In what year did Japan experience its first recession since World War II, leading to economic restructuring policies?,DATE
When was the Marshall Plan initiated by the U.S. to aid Western Europe's economy after WWII?,DATE
On which date did India implement the Goods and Services Tax (GST), a major tax reform affecting economic geography in South Asia?,DATE
What year is recognized for the launch of the first Five-Year Plan in the Soviet Union, marking a new era in planned economies?,DATE
When was the Asian Development Bank established to foster social and economic development in Asia and the Pacific region?,DATE
Which year marked the start of China's opening up policy under Deng Xiaoping, leading to profound changes in its economic geography?,DATE
On what date did Brazil officially begin using the real as its national currency, marking a significant shift in South American economic policies?,DATE
What specific date is associated with the signing of the Treaty of Rome, which established the European Economic Community (EEC)?,DATE
In which year was the first BRICS summit held, significantly altering the dynamics of global economic power and geography?,DATE
When did Russia join the World Trade Organization (WTO), thereby integrating itself more closely into the global economy?,DATE
What year is noted for the implementation of the Single European Act, marking a significant step in the creation of a single market within Europe?,DATE
What major event triggered the Great Depression and how did it reshape economic geography?,EVENT
How did the Industrial Revolution impact the spatial distribution of industries in Europe and North America?,EVENT
In what way did World War II influence post-war economic development patterns globally?,EVENT
Describe the effects of the oil crisis in the 1970s on global trade routes.,EVENT
What changes in economic geography resulted from the fall of the Berlin Wall in 1989?,EVENT
How has China's One Belt, One Road initiative reshaped global economic landscapes since its announcement?,EVENT
What were the key economic geographical impacts of the Dot-com Bubble burst in 2000-2001?,EVENT
In what ways did the 2008 financial crisis alter global supply chains and trade patterns?,EVENT
How did the signing of NAFTA in 1994 affect regional economics in North America?,EVENT
Describe the economic geographical consequences of the Brexit referendum result in June 2016.,EVENT
What are the primary economic geographical effects of the ongoing Sino-US trade war?,EVENT
How has the Syrian Civil War affected the economic geography of the Middle East region?,EVENT
Discuss the impact of the 2011 Japanese earthquake and tsunami on global supply chains.,EVENT
In what ways did the Marshall Plan after World War II shape European economic recovery?,EVENT
What are the long-term effects of the Arab Spring events on North African economies?,EVENT
How did the dissolution of the Soviet Union in 1991 impact economic geography within Eurasia?,EVENT
Describe the influence of the Industrial Revolution in Japan (Meiji Restoration) on its economic geography.,EVENT
Explain how the 2014 Ebola outbreak impacted West Africa's economic geography and trade relations.,EVENT
What changes did the signing of the Kyoto Protocol in 1997 bring about in terms of global economic policies towards green energy?,EVENT
How has the global response to climate change events such as hurricanes and droughts influenced economic migration patterns?,EVENT
What are the major industrial zones in China?,FAC
