Question,Entity-Type
What percentage of global diseases is attributed to environmental factors?,CARDINAL
How many liters of water are recommended daily per person for basic hygiene in areas with poor sanitation infrastructure?,CARDINAL
Approximately how many deaths per year are caused by indoor air pollution globally?,CARDINAL
In what year did the World Health Organization estimate that 13 million deaths annually could be attributed to preventable environmental causes?,CARDINAL
How many metric tons of plastic waste are estimated to enter the ocean each year?,CARDINAL
What is the average number of days a person in an urban area with poor air quality may lose due to pollution-related health issues per year?,CARDINAL
How many children under five years old die annually from diseases caused by lack of clean water and proper sanitation?,CARDINAL
As of 2018, how much did the global community invest in environmental health programs aimed at reducing disease transmission through unsafe water and poor hygiene practices in dollars?,CARDINAL
What is the estimated number of premature deaths that could be prevented each year if air quality standards were met globally?,CARDINAL
How many people worldwide do not have access to basic sanitation services as of 2019 estimates?,CARDINAL
By what percentage did lead exposure levels decrease among children in developed countries from 1978 to the early 2000s due to regulations on gasoline and paint?,CARDINAL
In how many countries is the level of air pollution exceeding WHO guidelines, affecting over half of the urban population worldwide as of 2016?,CARDINAL
How many cases of diarrhea in children under five are attributed annually to contaminated water, poor sanitation, and hygiene according to the World Health Organization estimates?,CARDINAL
What fraction of deaths among young children could be prevented through improvements in environmental health conditions such as clean cooking fuels and better water supply management?,CARDINAL
How many cubic meters per second of untreated wastewater is released into water bodies globally each day?,CARDINAL
According to recent studies, what percentage reduction in ambient air pollution could prevent millions of premature deaths annually across the globe?,CARDINAL
As of 2019, how much did the cost of health impacts related to outdoor air pollution amount to in billions of dollars globally?,CARDINAL
What is the estimated number of people affected by natural disasters each year due to increased environmental vulnerabilities and climate change?,CARDINAL
How many metric tons of hazardous waste are generated annually worldwide from industrial activities and improper disposal methods?,CARDINAL
In how many countries has there been a decline in malaria cases due to improved environmental health interventions such as insecticide-treated bed nets and better water management practices since 2010?,CARDINAL
When was the first World Environmental Health Day observed?,DATE
What date did the United Nations designate for International Day for Biological Diversity to raise awareness about environmental health?,DATE
On what date was the Clean Air Act amended in the United States to include provisions focusing on environmental health?,DATE
Can you provide the date when the Kyoto Protocol, which targets greenhouse gas emissions affecting environmental health, came into force globally?,DATE
What specific year and month did the World Health Organization release its guidelines for air quality aimed at improving environmental health?,DATE
