Question,Entity-Type
How many pairs of chromosomes are typically found in human cells?,CARDINAL
What is the approximate number of genes in the human genome?,CARDINAL
How many base pairs does the average human chromosome contain?,CARDINAL
In a standard diploid cell, how many copies of each chromosome are present?,CARDINAL
What percentage of the human genome is composed of protein-coding DNA sequences approximately?,CARDINAL
How many autosomal chromosomes do humans have in addition to sex chromosomes?,CARDINAL
Approximately how many different alleles can a gene have in a population?,CARDINAL
On average, how many mutations occur per generation in human genetics?,CARDINAL
What is the typical number of nucleotides that make up a short tandem repeat (STR) locus in forensic DNA profiling?,CARDINAL
How many types of RNA are involved in protein synthesis within cells?,CARDINAL
In genetic crosses, if you cross two heterozygous organisms for a single trait, what percentage of offspring would be expected to show the recessive phenotype assuming complete dominance?,CARDINAL
What is the approximate number of mitochondria DNA (mtDNA) molecules per cell?,CARDINAL
How many different amino acids are there that can be encoded by mRNA sequences in protein synthesis?,CARDINAL
In a Punnett square for a dihybrid cross, how many boxes would you typically draw to represent all possible combinations?,CARDINAL
What is the number of chromosomes in a gamete compared to somatic cells in organisms with sexual reproduction?,CARDINAL
How many daughter chromosomes are produced from one parent chromosome during mitosis?,CARDINAL
In humans, approximately how many genes are associated with genetic disorders as of now?,CARDINAL
What percentage of DNA sequences do humans share with their closest living relatives, the chimpanzees and bonobos?,CARDINAL
How many exons can a single human gene contain at maximum based on current research?,CARDINAL
How many different blood types exist in the ABO system when considering both antigens and antibodies present?,CARDINAL
When was the Human Genome Project completed?,DATE
What date marks the discovery of the DNA double helix structure by Watson and Crick?,DATE
In what year did Barbara McClintock receive the Nobel Prize in Physiology or Medicine for her genetic research?,DATE
On which date did the first genetically modified organism (GMO) patent get issued in the United States?,DATE
When was the first successful human gene therapy treatment conducted?,DATE
What is the date of publication for James Watson's and Francis Crick's seminal paper on DNA structure?,DATE
On what date did Gregor Mendel present his genetic research findings to the Brünn Natural History Society?,DATE
Which year saw the birth of the field of epigenetics with the discovery of transposons by Barbara McClintock?,DATE
What was the release date for the first draft of the human genome sequence by the Human Genome Project consortium?,DATE
On which date did Rosalind Franklin present her critical X-ray diffraction images of DNA to Maurice Wilkins and James Watson?,DATE
When did the Genetic Information Nondiscrimination Act (GINA) become law in the United States?,DATE
What year marked the beginning of the CRISPR-Cas9 revolution in genetic engineering technology?,DATE
On what date was the first genetically modified animal, a mouse, successfully created by scientists at Harvard University?,DATE
Which year saw the cloning of Dolly the sheep, marking a significant milestone in genetic research and biotechnology?,DATE
When did the European Patent Office issue its first patent for a genetically modified organism (GMO)?,DATE
What is the date when the term "genetics" was coined by William Bateson?,DATE
In what year did scientists sequence the genome of Neanderthals for the first time?,DATE
On which date did the United Nations adopt the Universal Declaration on the Human Genome and Human Rights?,DATE
When did the first successful cloning of a mammal from an adult somatic cell occur, leading to Dolly the sheep's birth?,DATE
What year was marked by the sequencing of the complete human genome for the first time as part of the HapMap Project?,DATE
What event triggered the Human Genome Project's completion in 2003?,Event
When was the discovery of DNA's double helix structure announced by Watson and Crick?,Event
Which historical event led to the development of genetic engineering techniques in the early 1970s?,Event
In what year did CRISPR-Cas9 gene editing technology become widely recognized for its precision and ease of use?,Event
What significant event marked the first successful cloning of a mammal, Dolly the sheep, in 1996?,Event
When was the Genetic Information Nondiscrimination Act (GINA) passed in the United States to prevent discrimination based on genetic information?,Event
Which pivotal moment led to the sequencing of the first full human genome in 2000 as part of the Human Genome Project?,Event
What event involved the mapping and sequencing of the rice genome, which was completed in 2001?,Event
When did scientists announce the successful editing of genes in human embryos using CRISPR-Cas9 for the first time?,Event
Which event led to the understanding that mitochondrial DNA is inherited solely from the mother?,Event
What significant event occurred when the ethical considerations surrounding genetic modification came into public debate in the early 2000s?,Event
When did the first successful gene therapy treatment take place, marking a milestone in genetic medicine?,Event
In which year was the discovery of RNA interference, a mechanism that regulates gene expression, awarded with the Nobel Prize in Physiology or Medicine?,Event
What event led to the realization and acceptance of epigenetics as an important field within genetics?,Event
When did the first genetically modified organism (GMO) receive approval for commercial release, marking the beginning of GMO agriculture?,Event
Which historical event caused a significant shift in genetic research from individual genes to complex interactions between multiple genes and environmental factors?,Event
What significant event marked the announcement of the Neanderthal Genome Project's completion in 2010?,Event
When was the first synthetic cell created, marking a major milestone in genetics and biotechnology?,Event
