Question,Entity-Type
What is the average global temperature increase predicted by 2100 if greenhouse gas emissions continue to rise?,CARDINAL
By how many degrees Celsius has the Earth's average surface temperature increased since the late 19th century?,CARDINAL
How much did the global average sea level rise in inches from 1993 to 2018?,CARDINAL
What percentage of the last century's warming is attributed to human activities according to IPCC reports?,CARDINAL
In how many years have we seen at least a 1-degree Celsius increase in global temperature since pre-industrial times?,CARDINAL
How many gigatons of carbon dioxide were emitted globally from fossil fuels and cement production in 2020?,CARDINAL
What is the estimated percentage decrease in Arctic sea ice thickness per decade due to global warming?,CARDINAL
By how much did the frequency of extreme heatwaves increase between 1950 and 2016 worldwide?,CARDINAL
How many millimeters per year was the rate of sea-level rise from 1901 to 2018 globally?,CARDINAL
What is the approximate number of years since the last time Earth experienced comparable global average temperatures to those predicted for this century under high emissions scenarios?,CARDINAL
In which decade did atmospheric CO2 concentrations first exceed 400 parts per million on a yearly average basis at Mauna Loa Observatory?,CARDINAL
How many billion metric tons of ice was lost annually from the Greenland and Antarctic ice sheets combined between 1992 and 2018 due to global warming?,CARDINAL
By how much did the Arctic sea ice extent decrease in September (the month when it reaches its minimum) compared to the average from 1979-2000 by 2021?,CARDINAL
What is the approximate number of species that could face extinction due to global warming if temperatures rise more than 1.5 degrees Celsius above pre-industrial levels?,CARDINAL
How many years did it take for atmospheric CO2 concentrations to increase from 300 parts per million to over 400 parts per million?,CARDINAL
What is the predicted increase in average sea level by 2100 if greenhouse gas emissions continue at their current rate, according to IPCC reports?,CARDINAL
How many inches have global average temperatures risen since record-keeping began around 1880?,CARDINAL
By what year do scientists predict that we might see ice-free summers in the Arctic Ocean due to global warming?,CARDINAL
What is the approximate number of million hectares of forest that were lost globally between 2000 and 2019, contributing to increased CO2 levels in the atmosphere?,CARDINAL
How many years has it been since a year with such low sea ice extent as was recorded in 2020 in the Arctic?,CARDINAL
When was the first international agreement on climate change signed?,DATE
What year did the United Nations Framework Convention on Climate Change come into force?,DATE
In which year did the Kyoto Protocol become effective globally?,DATE
Which date marks the signing of the Paris Agreement in 2015?,DATE
On what date did the United States officially withdraw from the Paris Agreement?,DATE
When was the Intergovernmental Panel on Climate Change (IPCC) established by the United Nations?,DATE
What year saw the hottest global average temperature recorded since records began?,DATE
In which year did NASA start collecting data on Earth's surface temperatures via satellite?,DATE
On what date were the first comprehensive climate change projections published by the IPCC in 1990?,DATE
When did the concept of 'global warming' become widely recognized among scientists and policymakers?,DATE
What is the target year for the United Nations to achieve net-zero emissions under the Paris Agreement?,DATE
In which year was the Earth's average surface temperature first measured to be more than 1 degree Celsius above pre-industrial levels?,DATE
When did the scientific community begin publishing research on global warming as a significant environmental issue?,DATE
Which year marked the start of the Industrial Revolution, leading to increased greenhouse gas emissions?,DATE
What date does the World Meteorological Organization (WMO) use to mark the beginning of a new season for climate data analysis?,DATE
When did international recognition and concern about global warming begin to significantly increase following severe weather events like hurricanes Katrina and Sandy in 2005 and 2012 respectively?,DATE
In which year was the first World Environment Day celebrated, raising awareness about environmental issues including climate change?,DATE
What is the target date for developed countries to have reduced their greenhouse gas emissions by 40% below 1990 levels as part of the European Union's commitment to combating global warming?,DATE
When did China set its goal to peak carbon dioxide emissions before and achieve carbon neutrality by 2060?,DATE
What year does the United Nations expect to have halved the rate of deforestation, a significant factor in global warming, under their Sustainable Development Goals (SDGs)?,DATE
What events mark the beginning of significant global warming awareness in the scientific community?,EVENT
When did the first major international agreement on climate change occur to address global warming?,EVENT
Which event led to the creation of the Intergovernmental Panel on Climate Change (IPCC)?,EVENT
How did the 2007 Nobel Peace Prize awarded to Al Gore and IPCC influence public perception on global warming?,EVENT
What was the outcome of the United Nations Climate Change Conference held in Paris in 2015 regarding global warming?,EVENT
Can you describe the effects of the El Niño event on global warming trends observed between 2014-2016?,EVENT
In which year did the Earth experience its hottest recorded temperature as part of the ongoing trend of global warming?,EVENT
What significant event caused a temporary reduction in greenhouse gas emissions due to economic activity disruptions globally?,EVENT
How did the occurrence of extreme weather events in 2021 contribute to discussions on global warming?,EVENT
Which historical event prompted researchers to link increased carbon dioxide levels with rising temperatures, contributing to our understanding of global warming?,EVENT
What was the impact of the "Climate March" events held in various cities around the world on raising awareness about global warming?,EVENT
How did the signing of the Kyoto Protocol in 1997 affect international efforts to combat global warming?,EVENT
Which event led to a significant increase in renewable energy investments as part of strategies against global warming?,EVENT
What notable event involving Arctic ice melting has scientists most concerned about the pace of global warming?,EVENT
How did the United Nations' declaration of "Climate Emergency" influence actions taken by governments worldwide regarding global warming?,EVENT
Which major natural disaster events have been intensified or made more frequent due to the effects of global warming according to recent studies?,EVENT
What role did the COP26 event play in shaping future commitments related to combating global warming among participating nations?,EVENT
How has the occurrence of "heatwaves" as a recurring event impacted discussions on public health policies related to global warming?,EVENT
In what way did the release of the IPCC's 1.5°C Report influence policy decisions concerning global warming mitigation strategies?,EVENT
What significant environmental event in 2020, such as the wildfires in Australia or California, highlighted the impacts of global warming most vividly to the public?,EVENT
What is the role of IPCC in addressing global warming?,FAC
How does the World Meteorological Organization contribute to our understanding of global warming?,FAC
Which international agreement, like the Paris Agreement, aims at reducing global warming?,FAC
Can you explain how NASA's Earth Observatory helps in monitoring global warming effects?,FAC
What role do environmental organizations such as Greenpeace play in combating global warming?,FAC
How does the United Nations Framework Convention on Climate Change (UNFCCC) help mitigate global warming?,FAC
Which research institution leads in providing data on global temperature changes due to global warming?,FAC
In what way does the Global Carbon Project support efforts against global warming?,FAC
What is the function of the Intergovernmental Panel on Climate Change (IPCC) concerning global warming?,FAC
How does the National Oceanic and Atmospheric Administration (NOAA) contribute to understanding global warming?,FAC
Which organization publishes annual reports on greenhouse gas emissions related to global warming?,FAC
Can you describe how the European Environment Agency monitors global warming effects in Europe?,FAC
What is the role of the Climate Action Tracker, an independent scientific analysis group, in assessing global warming impacts?,FAC
How does the World Health Organization (WHO) address health issues linked with global warming?,FAC
Which governmental body oversees the implementation of climate policies to counteract global warming in the United States?,FAC
What role do non-governmental organizations play in raising awareness about global warming?,FAC
Can you explain how the Energy Information Administration contributes to data on energy use and its impact on global warming?,FAC
How does the International Energy Agency (IEA) work towards reducing emissions that cause global warming?,FAC
Which entity provides the most reliable forecasts for future climate changes due to global warming?,FAC
What is the function of the Global Climate Observing System (GCOS) in monitoring global warming effects globally?,FAC
What role has the United States played in international agreements on global warming?,GPE
How has China's industrial growth contributed to global warming issues?,GPE
In what ways is India adapting its policies to combat the effects of global warming?,GPE
Which European Union strategies have been most effective in reducing greenhouse gas emissions linked to global warming?,GPE
What are the primary concerns of small island developing states like The Bahamas regarding global warming?,GPE
How has Russia's stance on global warming changed over the last decade?,GPE
Can you describe Australia's plan to address global warming and its impact on wildlife?,GPE
Has Brazil faced significant challenges related to deforestation in the Amazon rainforest due to global warming?,GPE
What actions have been taken by Canada to reduce carbon emissions in response to global warming?,GPE
How has Japan adapted its energy policy to tackle global warming?,GPE
What measures are being implemented in Germany to combat global warming through renewable energy?,GPE
Is South Africa facing any unique challenges due to global warming, particularly regarding water scarcity?,GPE
What initiatives have been launched by the United Kingdom to meet its carbon-neutral goals amidst concerns of global warming?,GPE
How does Mexico's climate change policy address the issues brought about by global warming?,GPE
In what ways has Indonesia's agricultural sector been affected by global warming, and how are they adapting?,GPE
What steps have Egypt taken to mitigate the effects of global warming on its coastal areas?,GPE
Has Nigeria developed any specific programs aimed at addressing global warming in its major cities?,GPE
How is Saudi Arabia planning to transition from oil dependency as a response to global warming concerns?,GPE
What impact has global warming had on the biodiversity of Australia's Great Barrier Reef, and what measures are being taken by the government?,GPE
Has France introduced any new legislation or policies in recent years specifically addressing global warming challenges?,GPE
What is the primary cause of global warming according to current scientific consensus?,LANGUAGE

How does deforestation contribute to global warming?,LANGUAGE

Can you explain what greenhouse gases are and how they affect global warming?,LANGUAGE

What role do oceans play in mitigating or exacerbating global warming?,LANGUAGE

Explain the relationship between melting polar ice caps and rising sea levels due to global warming.,LANGUAGE

In what ways can individuals reduce their carbon footprint to help combat global warming?,LANGUAGE

