Question,Entity-Type
What is the average depth of Lake Baikal in meters?,CARDINAL
How many cubic kilometers of water does the Amazon River discharge annually at its mouth?,CARDINAL
At what altitude above sea level is the Dead Sea located, in meters?,CARDINAL
How many major tributaries does the Mississippi River have?,CARDINAL
What is the maximum depth reached by the Great Lakes in feet?,CARDINAL
In which year was the first flood recorded on the Nile River with a height exceeding 20 meters?,CARDINAL
How much of Earth's surface, in percentage, is covered by oceans?,CARDINAL
What is the annual precipitation in millimeters for the wettest place on earth, Mawsynram, India?,CARDINAL
How many cubic kilometers of water are contained within all glaciers outside of Antarctica and Greenland combined?,CARDINAL
How many inches of rain does Atlanta receive annually on average?,CARDINAL
What is the surface area of Lake Superior in square miles?,CARDINAL
How many gallons of water does an average American household use per day?,CARDINAL
What was the highest recorded temperature, in degrees Celsius, for Lake Erie during summer months?,CARDINAL
How many years has it been since the last major drought occurred in the Murray-Darling Basin in Australia?,CARDINAL
How many liters of water are estimated to be lost daily due to leaks in a typical urban water distribution system worldwide?,CARDINAL
What percentage of global freshwater is stored as glacial ice in mountain ranges outside Greenland and Antarctica?,CARDINAL
In how many countries does the Danube River flow through or form part of its borders?,CARDINAL
How many cubic meters per second does the Yangtze River discharge at its mouth on average during high water season?,CARDINAL
What is the pH level of most natural rainwater due to dissolved carbon dioxide in the atmosphere?,CARDINAL
How many days did the record-breaking flood last in the city of Venice in 2019?,CARDINAL
When was the first International Conference on Hydrology held?,DATE
What date marks the beginning of the flood season in most parts of Asia according to hydrological studies?,DATE
On what date did the United Nations declare World Water Day?,DATE
In which year was the National Hydrological Monitoring Programme established in the UK?,DATE
Can you provide the date when the Great Flood of 1993 started along the Mississippi River?,DATE
What is the exact date when the Amazon river reached its highest recorded water level in recent history?,DATE
On what date did the drought in California officially end based on hydrological data?,DATE
When was the International Hydrological Decade initiated by UNESCO?,DATE
Could you tell me the date of the latest revision to the Water Framework Directive in Europe?,DATE
What is the date of the start of the monsoon season as recorded by Indian hydrologists?,DATE
On which date did Australia experience its lowest river flow on record due to severe drought?,DATE
When was the first Hydrology and Water Resources Symposium organized in South America?,DATE
Could you provide the date when a significant drought was declared over in East Africa based on hydrological data?,DATE
What is the recorded date of the largest dam failure in North America's history affecting hydrology?,DATE
On what date did China officially launch its National Groundwater Monitoring Network?,DATE
When was the last major revision to the Guidelines for Hydrological Practice published by WMO made?,DATE
Could you share the exact date when the first comprehensive study on Arctic Ice Melting due to climate change was released in 2016?,DATE
What is the date of the annual Water Scarcity Conference held in Europe focusing on hydrology and sustainable water use?,DATE
Can you provide the date for the next scheduled meeting of the International Association of Hydrological Sciences (IAHS)?,DATE
When did the United States Geological Survey (USGS) release its most recent report on national water quality trends?,DATE
What events caused the Mississippi River to flood in 2019?,Event
How did El Niño influence global water cycles in 2016?,Event
Can you describe the sequence of events during the drought in California from 2011-2017?,Event
What triggered the flash flooding in Kerala, India, in August 2018?,Event
Which event led to the significant drop in water levels at Lake Mead in recent years?,Event
How did Hurricane Harvey impact Houston's hydrology in 2017?,Event
What was the most notable hydrological event of 2020 in terms of global flooding impacts?,Event
Can you detail the events that contributed to the Aral Sea's drastic shrinkage since the 1960s?,Event
How did the construction of the Three Gorges Dam affect local hydrology as an event?,Event
What were the key factors and events leading up to the water crisis in Cape Town, known as "Day Zero"?,Event
Which event led to significant changes in the Aral Sea's water levels?,Event
What major hydrological event occurred during Hurricane Maria's impact on Puerto Rico in 2017?,Event
How did the volcanic eruption of Eyjafjallajökull in Iceland in 2010 affect local river flow as an event?,Event
What was the main hydrological event that contributed to the Yellow River's flooding in China in 1938?,Event
Which event caused a significant decrease in groundwater levels in the High Plains Aquifer over time?,Event
Can you explain the role of the Little Ice Age as an event on European river flow patterns?,Event
What was the most impactful hydrological event during Hurricane Sandy's landfall in the U.S. in 2012?,Event
How did the dust bowl events affect river levels and water tables in the United States during the 1930s?,Event
Which specific event led to changes in the Colorado River Delta's water flow since the 1960s?,Event
What were the hydrological impacts of the Mount St. Helens eruption as an event on surrounding watersheds in 1980?,Event
What is the primary function of a reservoir in hydrology?,FAC
How does a watershed contribute to the study of hydrology?,FAC
Can you explain the role of an aquifer in groundwater hydrology?,FAC
What impact does a river basin have on local hydrological cycles?,FAC
In hydrology, what is the significance of a floodplain during heavy rainfall events?,FAC
How do wetlands function as natural water filters within hydrological systems?,FAC
Describe the importance of a drainage divide in determining the flow direction in hydrology.,FAC
What role does an estuary play in connecting freshwater and marine ecosystems in terms of hydrology?,FAC
Can you discuss how a levee system is used to manage flood risks in hydrology studies?,FAC
How do glaciers act as storage for freshwater, influencing global hydrological cycles?,FAC
What is the function of a dam in regulating water flow within a river system according to hydrology principles?,FAC
Explain the impact of an infiltration basin on groundwater recharge rates.,FAC
How does a spring contribute to the surface water supply from underground aquifers in hydrology studies?,FAC
