Question,Entity-Type
What is the minimum number of people required to conduct an outbreak investigation for infectious diseases?,CARDINAL
How many days should antibiotics be prescribed at least for treating bacterial infections effectively in most cases?,CARDINAL
In the context of infection control, what is the recommended frequency in times per day that healthcare workers should wash their hands?,CARDINAL
What percentage reduction in transmission rate can be achieved with proper hand hygiene practices according to studies?,CARDINAL
How many masks are recommended to be worn daily by an individual in a highly contagious disease outbreak scenario for maximum protection?,CARDINAL
In the case of a viral outbreak, what is the advised number of feet distance one should maintain from others to reduce transmission risk?,CARDINAL
What is the typical incubation period in days for most common infectious diseases that require quarantine measures?,CARDINAL
How many types of消毒剂通常建议用于医院环境中的表面消毒？,CARDINAL
在感染控制指南中，推荐的最低个人防护装备（PPE）更换频率是多少次每小时？,CARDINAL
对于疑似传染病患者，医疗机构应准备多少个隔离病房以应对突发状况？,CARDINAL
在一个社区中，为了防止疾病的传播，至少需要百分之多少的人接种疫苗才能实现群体免疫？,CARDINAL
在发生重大疫情时，建议的社交距离应在多大范围内（米）来减少病毒传播的可能性？,CARDINAL
对于季节性流感，推荐的最佳疫苗接种时间是在每年的哪几个月份开始？,CARDINAL
为了有效控制传染病的爆发，公共卫生部门通常需要跟踪多少名接触者以确保疾病的追踪和隔离？,CARDINAL
在流行病期间，医院通常会储备多少天的个人防护装备（PPE）以应对可能的需求增加？,CARDINAL
用于监测传染病患者体温变化时，医疗团队应多久测量一次患者的体温（小时为单位）？,CARDINAL

请注意，最后四个问题中的实体类型未使用英文表示。以下是正确的格式：
How many types of disinfectants are typically recommended for surface disinfection in hospital settings?,CARDINAL
In infection control guidelines, what is the minimum PPE change frequency recommended per hour?,CARDINAL
For suspected infectious disease patients, how many isolation rooms should medical institutions prepare to cope with sudden situations?,CARDINAL
To prevent disease transmission in a community, at least what percentage of people need to be vaccinated to achieve herd immunity?,CARDINAL
When was the first case of SARS reported in 2003?,DATE
What date did the WHO declare the end of the Ebola outbreak in West Africa?,DATE
On which date did China announce its first case of COVID-19 in Wuhan?,DATE
Can you provide the date when the World Health Organization declared COVID-19 a pandemic?,DATE
When was the Smallpox Eradication Programme officially declared successful by WHO?,DATE
What is the exact date that the U.S. Centers for Disease Control and Prevention (CDC) first reported AIDS cases in 1981?,DATE
On what date did the H1N1 influenza outbreak begin according to the World Health Organization?,DATE
Could you tell me the date when the last case of wild poliovirus was recorded in India?,DATE
When was the International Health Regulations (IHR) updated by WHO to improve global health security?,DATE
What is the specific date that marks the start of the HIV/AIDS epidemic globally?,DATE
On which date did the WHO declare the end of the 2014 Ebola outbreak in Liberia?,DATE
Could you provide the exact date when the SARS-CoV-2 virus was first sequenced and shared with global health authorities?,DATE
What is the date of the last naturally occurring case of smallpox before its eradication?,DATE
When did the WHO announce the end of the Ebola epidemic in Sierra Leone?,DATE
Can you provide the date when the world officially celebrated the eradication of rinderpest disease?,DATE
On what specific date was the first vaccine for measles introduced to public health programs worldwide?,DATE
Could you give me the date of the last recorded case of polio in the Americas according to PAHO/WHO?,DATE
What is the exact date when the WHO declared Liberia free from Ebola virus transmission?,DATE
When did the WHO release its first global influenza surveillance report?,DATE
On which date was the Global Polio Eradication Initiative launched by WHO, Rotary International, CDC and UNICEF?,DATE
What were the key strategies implemented during the 2014 Ebola outbreak in West Africa?,EVENT
How did the global community respond to the Zika virus outbreak in 2015-2016?,EVENT
In what ways did quarantine measures affect the spread of SARS-CoV-1 in 2003?,EVENT
What were the primary public health interventions used during the H1N1 influenza pandemic in 2009?,EVENT
How effective were travel restrictions in controlling the MERS outbreak in South Korea in 2015?,EVENT
During the global fight against HIV/AIDS, which major events marked significant changes in treatment and prevention strategies since the 1980s?,EVENT
What role did international partnerships play during the smallpox eradication campaign that concluded in 1980?,EVENT
How has the development of antiretroviral therapy (ART) impacted HIV/AIDS patient care since its introduction in the mid-1990s?,EVENT
Which event triggered a global health emergency declaration for the novel coronavirus outbreak in early 2020?,EVENT
What measures were taken to control the spread of polio during the worldwide vaccination campaign that started in the late 20th century?,EVENT
How did public health responses change following the severe acute respiratory syndrome (SARS) epidemic from 2002-2003?,EVENT
In which event was social distancing first widely implemented as a防控措施以应对传染病的传播？，事件
由于抗生素耐药性危机的出现，哪些关键事件推动了全球范围内对抗生素使用的重新评估和控制策略的制定？，事件
