Question,Entity-Type
What was the approximate population of Europe in the year 1000?,CARDINAL
How many gold coins were typically used to pay for a knight's annual service?,CARDINAL
In the medieval period, what was the average number of serfs on a manor estate?,CARDINAL
Approximately how many acres did a typical peasant farm consist of during the Middle Ages?,CARDINAL
What was the average price in shillings for an ox in the 14th century?,CARDINAL
How many days were designated as feast days, which halted agricultural work, in medieval England?,CARDINAL
During the medieval era, what was the average yield per hectare of wheat?,CARDINAL
In terms of currency, how much would a skilled craftsman earn annually during the 12th century?,CARDINAL
How many types of coins were commonly used for trade within the Holy Roman Empire during the Middle Ages?,CARDINAL
What was the typical number of years required to repay a loan from a moneylender in medieval times?,CARDINAL
During the High Middle Ages, how many barrels of ale or beer could a brewer produce per day?,CARDINAL
How much, in pounds sterling, did King Henry III of England owe at his death in 1272?,CARDINAL
What was the average price in florins for a piece of land during the Renaissance period?,CARDINAL
In medieval times, how many weeks would it take to complete the construction of a small chapel using local labor and materials?,CARDINAL
How much did a pound of salt cost in the 14th century, given in deniers?,CARDINAL
What was the approximate number of merchants involved in the Hanseatic League at its peak?,CARDINAL
During the medieval period, how many guilds were there typically in a town with a population of around 5000 people?,CARDINAL
How much did it cost to build a castle keep during the High Middle Ages, given in pounds sterling?,CARDINAL
What was the average number of sheep owned by a wealthy peasant family in England during the 14th century?,CARDINAL
How many guilders would be the typical price for a merchant's house in Bruges around 1500 AD?,CARDINAL
When did the Black Death significantly impact the medieval European economy?,DATE
What year marked the beginning of the High Middle Ages, a period of economic growth in Europe?,DATE
In what date did the Hundred Years' War start, affecting trade and economy across England and France?,DATE
Which year saw the peak of the Medieval Warm Period that influenced agricultural productivity in Europe?,DATE
Can you provide the date when the Domesday Book was completed, documenting much of England's economic wealth?,DATE
What is the date associated with the founding of the Hanseatic League, a powerful medieval trade organization?,DATE
When did the fall of Constantinople occur, an event that disrupted trade routes and had significant economic repercussions?,DATE
Can you give me the year when the first European banking institutions began to appear in Italy, revolutionizing finance?,DATE
What date marks the start of the Little Ice Age which had a chilling effect on medieval economies?,DATE
Which year was crucial for the end of serfdom due to labor shortages following the Black Death?,DATE
When did the economic boom in Northern Europe begin that resulted from increased trade and wealth accumulation?,DATE
Can you provide me with the date when the first stock exchange was established, marking a new era in medieval commerce?,DATE
In what year did the English wool trade reach its peak, significantly boosting the economy of England?,DATE
When did King John sign the Magna Carta, an event that had long-term economic implications for feudal economies?,DATE
What date signifies the beginning of the Great Famine in Europe, which led to widespread economic hardship and population decline?,DATE
Can you provide the year when the first paper money was introduced in Europe by a bank in Sweden, changing financial practices?,DATE
When did the medieval silk trade reach its height between Europe and Asia, impacting economies along the Silk Road?,DATE
Which date marks the end of the Byzantine Empire, an event that reshaped economic relations across the Mediterranean?,DATE
Can you tell me when the first recorded use of double-entry bookkeeping appeared in Venice, revolutionizing accounting practices?,DATE
What year was the Treaty of Tordesillas signed, dividing newly discovered lands and setting the stage for new trade routes and economies?,DATE
What events led to the decline of the manorial system in medieval Europe?,Event
How did the Black Death alter the economic structure of medieval Europe?,Event
Which event marked the beginning of the Crusades and how did it impact trade routes in the Medieval period?,Event
In what year was the Treaty of Tordesillas signed, dividing newly discovered lands outside Europe between Spain and Portugal, and how did this affect the global economy?,Event
What significant event caused the Hundred Years' War between England and France, impacting medieval economies?,Event
How did the fall of Constantinople in 1453 change trade patterns across Europe during the Medieval period?,Event
Which economic event is associated with the rise of merchant guilds in medieval towns and cities?,Event
What event triggered the Great Famine of 1315-1317 in Europe, affecting agricultural production and food supply?,Event
Can you describe the event known as the Agricultural Revolution that occurred during the Medieval period and its economic impact?,Event
