Question,Entity-Type
What was the approximate population of medieval London around the year 1300?,CARDINAL
How many years did the Hundred Years' War last?,CARDINAL
In which century did the Black Death first strike Europe?,CARDINAL
What year marked the beginning of the Medieval period in history?,CARDINAL
Around what percentage of the European population is estimated to have died due to the Black Death?,CARDINAL
How many major feudal classes were typically recognized in medieval society?,CARDINAL
In what year did the Magna Carta get signed, influencing medieval governance?,CARDINAL
Approximately how many castles are believed to have been built during the High Middle Ages in England alone?,CARDINAL
What was the typical life expectancy for a peasant in medieval times?,CARDINAL
How many books were contained in an average medieval library of a monastery or cathedral chapter?,CARDINAL
In which year did the Battle of Hastings occur, marking the Norman Conquest of England?,CARDINAL
During the Medieval period, how many major plagues are historically recognized to have significantly impacted European society besides the Black Death?,CARDINAL
How many days of the week were typically designated as fasting days in medieval Christian practice?,CARDINAL
In what year did the last Crusade come to an end, marking a significant era in medieval warfare?,CARDINAL
What is estimated to be the maximum population of the city of Paris around 1300 AD?,CARDINAL
How many miles did Medieval pilgrims often travel on foot for religious purposes at most per day?,CARDINAL
In what year was the Medieval Warm Period, a significant climatic event during medieval times, approximately said to have ended?,CARDINAL
What percentage of the population in medieval Europe belonged to the nobility class?,CARDINAL
How many major technological innovations are credited with contributing to the end of the Medieval period and the beginning of the Renaissance era?,CARDINAL
Around how many years did it take to build some of the most famous cathedrals of the Medieval period, like Notre-Dame in Paris?,CARDINAL
When was the Norman Conquest of England completed?,DATE
What year did the construction of Notre-Dame Cathedral in Paris begin?,DATE
In which year did the Black Death first reach Europe?,DATE
During what date did the Hundred Years' War between England and France start?,DATE
What is the exact date when King Arthur's legendary Battle of Camlann is thought to have occurred?,DATE
When was the Magna Carta signed by King John of England?,DATE
In what year was the Medieval period generally considered to have ended in Western Europe?,DATE
On which date did William the Conqueror become King of England after the Battle of Hastings?,DATE
What date marks the beginning of the First Crusade in 1096?,DATE
When did the Albigensian Crusade begin, targeting Catharism in southern France?,DATE
During what period did the Medieval Warm Period occur, affecting European climate and agriculture?,DATE
On which date was the Battle of Hastings fought in 1066?,DATE
What is the year when the Reconquista ended with the fall of Granada to Christian forces?,DATE
When was the signing of the Treaty of Tordesillas between Spain and Portugal?,DATE
Which specific date marks the start of the Peasants' Revolt in England in 1381?,DATE
What is the year that the Fall of Constantinople, leading to the end of the Byzantine Empire, occurred?,DATE
During what time period did the Medieval Inquisition take place?,DATE
When was the founding date of the Knights Templar?,DATE
On which date did Richard the Lionheart ascend to the throne of England after his father's death in 1189?,DATE
What year marked the coronation of Charlemagne as Holy Roman Emperor by Pope Leo III?,DATE
What events led to the establishment of the feudal system in medieval Europe?,EVENT
When did the Black Death first reach Western Europe during the Medieval period?,EVENT
Which battle marked the beginning of the Hundred Years' War between England and France?,EVENT
During which event did the Mongols invade and conquer the Kievan Rus', leading to significant political changes?,EVENT
What was the main event that triggered the Crusades in medieval society?,EVENT
When was the Magna Carta sealed, significantly influencing medieval legal practices in England?,EVENT
Which event caused the fall of Constantinople and marked a turning point for Medieval Europe's relationship with the Byzantine Empire?,EVENT
Can you name an event where the Catholic Church held significant power over European monarchs during the Middle Ages?,EVENT
What event led to the decline of the medieval villein or serf class in Western Europe?,EVENT
Which event is considered the starting point for the Renaissance, signaling a shift from medieval to early modern society?,EVENT
When did the Albigensian Crusade begin, an event targeting Catharism and influencing Southern French nobility?,EVENT
What significant event during the Medieval period led to the formation of the Teutonic Knights in Northern Europe?,EVENT
Which event marked the end of Viking invasions in Western Europe, affecting medieval society's structure?,EVENT
When did the Battle of Hastings take place, leading to a pivotal change in English history?,EVENT
Can you identify an event that resulted in the widespread persecution and witch hunts during late Medieval times?,EVENT
What event led to the beginning of the Investiture Controversy between Holy Roman Emperor Henry IV and Pope Gregory VII?,EVENT
Which event caused the outbreak of the Peasants' Revolt in England, showing peasant resistance against feudal oppression?,EVENT
When did the Reconquista end with the fall of Granada, marking a significant cultural shift for medieval Spain?,EVENT
What event led to the signing of the Treaty of Tordesillas between Portugal and Spain, dividing newly discovered lands outside Europe?,EVENT
Which event marked the beginning of the Inquisition in Medieval Europe, aimed at maintaining Catholic orthodoxy?,EVENT
What was the primary function of the Tower of London during medieval times?,FAC
How did the construction of castles impact the defense strategies in Medieval Europe?,FAC
Which architectural marvel served as a symbol of power for monarchs across medieval Europe?,FAC
What role did monasteries play in preserving knowledge and culture during medieval society?,FAC
Can you describe the importance of Notre-Dame Cathedral in medieval Paris?,FAC
In medieval times, what was the significance of the Vatican City as a religious center?,FAC
How did the Great Wall of China serve as a fortification against invasions during the medieval period?,FAC
What was the purpose of the Alhambra Palace in Granada during the Islamic rule in Spain?,FAC
Which city served as the main trading hub for spices and silk during the medieval era?,FAC
How did the establishment of universities, such as the University of Bologna, impact medieval society?,FAC
What role did the Silk Road play in facilitating trade between East and West in medieval times?,FAC
In what way did the construction of the Colosseum influence public entertainment during the late Roman Empire period?,FAC
How were medieval towns structured to protect their inhabitants from external threats?,FAC
What was the purpose of the Hagia Sophia as a place of worship in Constantinople during its early years?,FAC
Which bridge is considered an iconic structure and symbol of medieval engineering excellence?,FAC
Can you explain how the layout of medieval cathedrals like Chartres represented spiritual journeys?,FAC
How did the construction of the Great Mosque of Cordoba reflect the cultural diversity of medieval Spain?,FAC
What was the role of the city walls in medieval European towns during invasions and sieges?,FAC
Which famous siege engine, used in medieval times to break through castle defenses, is still known today for its destructive power?,FAC
How did the layout and design of medieval marketplaces impact trade within communities?,FAC
What was the role of England in medieval society?,GPE
How did France's feudal system operate during the Middle Ages?,GPE
What impact did the Norman Conquest have on England's society and structure?,GPE
Describe the political influence of Germany in medieval Europe.,GPE
Which city-states were dominant in Italy during the Medieval period?,GPE
In what ways did Spain contribute to the cultural development of medieval Europe?,GPE
How did the Holy Roman Empire shape governance in medieval Central Europe?,GPE
What was the significance of Scotland in medieval British history?,GPE
Can you explain the role of Ireland in fostering monastic scholarship during the Middle Ages?,GPE
Describe the economic impact of trade routes on the Byzantine Empire during the Medieval period.,GPE
How did Wales contribute to the political dynamics of Britain during the Medieval era?,GPE
What was the cultural influence of Poland in medieval Central Europe?,GPE
Discuss the military significance of the Kingdom of Hungary in medieval history.,GPE
In what ways did Denmark play a role in Viking Age societies and their influence on medieval politics?,GPE
How did the city of Constantinople serve as a bridge between East and West during the Medieval period?,GPE
What was the impact of Sweden's naval power during the medieval Scandinavian era?,GPE
Describe the political alliances and conflicts involving the Duchy of Burgundy in medieval Europe.,GPE
How did Portugal contribute to maritime exploration and trade during the later Medieval period?,GPE
What was the significance of Sicily as a crossroads of cultures during the Middle Ages?,GPE
Explain the role of Norway in shaping the political landscape of Northern Europe during the Medieval era.,GPE
What languages were predominantly spoken in Medieval England?,LANGUAGE
Which language was used for official documents during the medieval period in France?,LANGUAGE
In medieval Germany, what language was commonly used for literature and songs of the troubadours?,LANGUAGE
During the medieval era, which language was primarily used by the clergy and scholars for writing and communication across Europe?,LANGUAGE
What was the main liturgical language in the Catholic Church during the Middle Ages?,LANGUAGE
How did Latin as a language influence other languages spoken throughout Medieval Europe?,LANGUAGE
Which vernacular language began to gain prominence in medieval England, eventually evolving into modern English?,LANGUAGE
In the context of medieval society, what role did Old Norse play due to Viking invasions and settlements in various parts of Europe?,LANGUAGE
What was the significance of the Catalan language during the medieval period in Spain?,LANGUAGE
During the medieval times, which language became widely used for trade and diplomacy along the Mediterranean coast?,LANGUAGE
How important was the Old French language in shaping the literature of chivalry during the medieval era?,LANGUAGE
In the Byzantine Empire during the Middle Ages, what was the official language used alongside Greek?,LANGUAGE
