Question,Entity-Type
How many base pairs are typically found in the human genome?,CARDINAL
What is the approximate molecular weight of an average protein in kilodaltons?,CARDINAL
In a typical eukaryotic cell, how many different types of ribosomes are present?,CARDINAL
How many amino acids can be encoded by the genetic code?,CARDINAL
What is the diameter of a typical DNA double helix in nanometers?,CARDINAL
How many nucleotides make up an average mRNA transcript before splicing?,CARDINAL
Approximately how many genes does the human genome contain?,CARDINAL
In PCR, what is the minimum number of cycles typically required to amplify DNA effectively?,CARDINAL
What is the approximate size of a plasmid used in molecular cloning in base pairs?,CARDINAL
How many different kinds of nucleotides are there in RNA?,CARDINAL
What is the typical pH level at which DNA replication occurs inside cells?,CARDINAL
How many types of RNA polymerase does E. coli have for transcription?,CARDINAL
In a ribosome, how many subunits are there that combine to form the active site for protein synthesis?,CARDINAL
Approximately how many adenine nucleotides would you expect in 100 base pairs of DNA with an A-T content of 25%?,CARDINAL
How many carbon atoms does glucose have, which is often used as a source of energy in cellular respiration?,CARDINAL
What is the average length of a microRNA molecule in nucleotides?,CARDINAL
In the process of transcription, how many types of RNA are primarily produced by eukaryotic cells?,CARDINAL
How many electrons does oxygen have in its outer shell that makes it highly reactive and critical for cellular respiration?,CARDINAL
What is the approximate length of a bacterial chromosome in base pairs?,CARDINAL
How many hydrogen bonds typically form between adenine and thymine in DNA?,CARDINAL
When was the structure of DNA first discovered?,DATE
What year did James Watson and Francis Crick publish their model of the DNA double helix?,DATE
In which year was RNA interference (RNAi) mechanism discovered leading to a Nobel Prize in 2006?,DATE
During what period did scientists start to understand the concept of molecular cloning?,DATE
When did the Human Genome Project officially begin?,DATE
What is the date of the first successful gene therapy treatment on a human patient?,DATE
In which year was CRISPR-Cas9 technology first used for genome editing in eukaryotic cells?,DATE
Can you tell me the year when the first complete genome sequence of any organism, Haemophilus influenzae, was published?,DATE
What date marks the discovery of the polymerase chain reaction (PCR) technique by Kary Mullis?,DATE
When did Frederick Sanger determine the sequence of insulin, marking a breakthrough in protein sequencing?,DATE
Which year saw the development of the first recombinant DNA technology that allowed scientists to manipulate genes more precisely?,DATE
On what date was the term "molecular biology" coined by Warren Weaver?,DATE
What is the date associated with the discovery of ribozymes and their implications for understanding early evolution on Earth?,DATE
In which year did the first transgenic animal, a mouse expressing a human protein, get created?,DATE
When was the technique of Southern blotting invented, crucial for identifying specific DNA sequences among a mixture of DNAs?,DATE
Can you provide the date when the concept of genetic linkage was proposed based on observation that genes located close together on the same chromosome tend to be inherited together?,DATE
What year did Barbara McClintock win the Nobel Prize in Physiology or Medicine for her discovery of mobile genetic elements?,DATE
On what date was the field of genomics initiated with the first complete genome sequence of a free-living organism, Methanococcus jannaschii?,DATE
Which year marked the publication of the first draft of the human genome by the Human Genome Project consortium and Celera Genomics?,DATE
When did the CRISPR-Cas system for adaptive immunity in bacteria and archaea get discovered leading to revolutionary gene editing technologies?,DATE
What events trigger DNA replication in eukaryotic cells?,Event
How does transcription initiation occur in prokaryotes?,Event
During which phase of the cell cycle does chromosome condensation typically happen?,Event
What is the mechanism by which RNA polymerase recognizes promoter sequences during transcription start?,Event
Can you describe the process of mRNA splicing and its significance in molecular biology events?,Event
What specific event leads to the activation of DNA repair mechanisms after UV radiation damage?,Event
How do cells initiate apoptosis when DNA damage cannot be repaired effectively?,Event
What are the key events that occur during the initiation of translation by ribosomes?,Event
Can you explain the events involved in the regulation of gene expression through microRNAs?,Event
Which cellular event is responsible for initiating the process of protein folding?,Event
How does the cell cycle checkpoint ensure the fidelity of DNA replication as an event in molecular biology?,Event
What are the sequential events that occur during homologous recombination repair in cells?,Event
Can you describe the event known as the restriction point, critical for progression through the G1 phase?,Event
In what way does the event of RNA interference contribute to gene silencing mechanisms?,Event
What are the cellular events involved in the process of endocytosis and how do they affect signaling pathways?,Event
How is the event of chromatin remodeling linked to changes in gene expression patterns during development?,Event
Could you explain the role of mitotic spindle assembly as a key molecular biology event in cell division?,Event
What are the events that occur during telomere maintenance and their importance for genomic stability?,Event
In what ways do cellular events such as autophagy contribute to cellular homeostasis under stress conditions?,Event
How does the event of histone modification lead to changes in gene expression levels?,Event
What is the function of DNA polymerase in molecular biology?,FAC
How does RNA polymerase contribute to transcription in molecular biology?,FAC
Can you explain the role of restriction enzymes in genetic engineering within molecular biology?,FAC
In molecular biology, what role do ribosomes play in protein synthesis?,FAC
What is the importance of telomerase enzyme in understanding aging and cancer from a molecular biology perspective?,FAC
How does CRISPR-Cas9 technology facilitate gene editing studies in molecular biology?,FAC
Could you describe the function of ligases during DNA replication in molecular biology?,FAC
In molecular biology, how do kinases phosphorylate proteins to modify their activity?,FAC
What is the significance of G protein-coupled receptors (GPCRs) in signal transduction within molecular biology studies?,FAC
How does the lac operon model contribute to understanding gene regulation in molecular biology?,FAC
Can you explain the function of TATA-binding protein (TBP) and its role in RNA polymerase assembly during transcription in molecular biology?,FAC
What is the mechanism by which proteasomes degrade proteins in cellular pathways as studied in molecular biology?,FAC
How does DNA methyltransferase affect gene expression through epigenetic modifications in molecular biology studies?,FAC
In molecular biology, what role do histone deacetylases play in chromatin structure and function?,FAC
Could you elaborate on the role of topoisomerases in managing DNA supercoiling during replication and transcription in molecular biology?,FAC
What is the significance of the lacZ gene as a reporter for studying gene expression in molecular biology?,FAC
