Question,Entity-Type
What is the default port number for HTTP?,CARDINAL
How many bits are in an IPv4 address?,CARDINAL
What is the standard port number for SSH (Secure Shell) services?,CARDINAL
In TCP/IP model, how many layers are there in total?,CARDINAL
Which number represents the maximum segment size (MSS) typically used in TCP connections?,CARDINAL
How many ports can a computer have open at once according to the TCP protocol?,CARDINAL
What is the typical port number for FTP data transfer?,CARDINAL
In network protocols, how many bits are usually found in an IPv6 address?,CARDINAL
What is the standard port number used for Telnet services?,CARDINAL
How many bytes does a MAC address consist of when written in hexadecimal format with colons between bytes?,CARDINAL
Which TCP flag value represents the SYN bit in the header?,CARDINAL
How many flags are there in the TCP header section?,CARDINAL
What is the default port number for SMTP (Simple Mail Transfer Protocol)?,CARDINAL
In UDP protocol, how long is the checksum field in bits?,CARDINAL
What is the standard port number used for DNS services?,CARDINAL
How many octets does an IPv4 address contain when represented in dotted decimal notation?,CARDINAL
Which value typically indicates no error in ICMP messages?,CARDINAL
How many fields are there in the basic IP header excluding options?,CARDINAL
In TCP, what is the typical maximum number of SYN retries before giving up?,CARDINAL
What is the standard port number for HTTPS (HTTP Secure)?,CARDINAL
When was TCP/IP protocol suite officially adopted by the U.S Department of Defense?,DATE
What date marked the introduction of the first version of HTTP (Hypertext Transfer Protocol)?,DATE
On what date did ARPANET officially transition to the TCP/IP protocols, marking a significant milestone in network history?,DATE
Can you provide the date when the DNS (Domain Name System) was first proposed by Paul Mockapetris?,DATE
When was the IEEE 802.11 standard, which underpins Wi-Fi technology, initially ratified?,DATE
What is the date of the first RFC document that described SMTP (Simple Mail Transfer Protocol)?,DATE
On what date did the Internet Engineering Task Force (IFTP) publish the first RFC for IPv6?,DATE
Can you give me the date when the SSL protocol was first publicly released by Netscape?,DATE
When did the FTP (File Transfer Protocol) specification become an internet standard as defined in RFC 959?,DATE
What is the date of the initial publication of the POP3 (Post Office Protocol version 3)?,DATE
Could you tell me the date when the first version of the SSH protocol was released for public use?,DATE
On what date did the Internet Assigned Numbers Authority (IANA) announce the exhaustion of IPv4 address space?,DATE
What is the date of the publication of the initial RFC defining the ICMP (Internet Control Message Protocol)?,DATE
When was the SIP (Session Initiation Protocol), used for initiating, maintaining and terminating real-time sessions that include video, voice and messaging over IP networks, first published as an RFC?,DATE
Could you provide the date when the Bluetooth specification version 1.0 was officially released to the public?,DATE
What is the date on which the IEEE 802.3 standard for Ethernet technology was initially approved?,DATE
When did the Internet Society publish RFC 791, detailing the Internet Protocol (IPv4)?,DATE
On what date was the initial version of the BGP (Border Gateway Protocol) standardized by the IETF released?,DATE
Could you give me the date when the first version of SNMP (Simple Network Management Protocol) became an internet standard as defined in RFC 1065?,DATE
What is the release date for IPv6, the Internet protocol that was designed to succeed IPv4 due to the latter's address space limitations?,DATE
What event triggered the development of TCP/IP protocol?,EVENT
When was the first major update to HTTP protocol released?,EVENT
Which significant event led to the creation of DNS protocol standards?,EVENT
What event caused the transition from IPv4 to IPv6?,EVENT
During which event did the SSL/TLS protocol become widely adopted in web communications?,EVENT
What significant event drove the need for SSH protocol development?,EVENT
When was the ARPANET switch-off, leading to the end of its use as a major network infrastructure?,EVENT
Which historical event influenced the evolution of FTP from a file transfer service to include additional security measures?,EVENT
Can you identify an event that led to the widespread adoption of the SMTP protocol for email communication?,EVENT
What event marked the introduction of QoS in network protocols to improve multimedia transmission reliability?,EVENT
During which event did IEEE release the 802.11n amendment, significantly enhancing wireless networking speeds?,EVENT
Which event prompted the development of the ICMP protocol for error reporting and diagnostic testing?,EVENT
When was the transition from HTTP 1.0 to HTTP 1.1, driven by an important technological event?,EVENT
What major cybersecurity event led to the reinforcement of security features in TLS protocols?,EVENT
During which significant IT event did IPv6 officially surpass IPv4 usage on the internet?,EVENT
Which historical milestone event led to the implementation of SSL protocol for secure web transactions?,EVENT
Can you pinpoint a specific event that initiated the development of the BGP protocol for inter-autonomous system routing?,EVENT
What significant technological advancement event spurred the refinement and widespread adoption of MQTT protocols in IoT devices?,EVENT
During which major event did the SIP protocol gain prominence as a key component in Voice over IP services?,EVENT
Which critical security breach event led to the rapid development and implementation of IPSec for network layer protection?,EVENT
What is the primary function of TCP in network communication?,FAC
How does HTTP ensure data integrity during transmission?,FAC
Can you explain how SSL/TLS contributes to secure web browsing?,FAC
What role does DNS play in translating domain names into IP addresses?,FAC
Describe the process by which ARP resolves IP addresses to MAC addresses.,FAC
In what way does ICMP assist in diagnosing network issues?,FAC
How does UDP differ from TCP when it comes to data transmission reliability?,FAC
