Question,Entity-Type
What is the maximum number of firewall rules typically recommended for optimal network security?,CARDINAL
How many types of encryption methods are commonly used in securing wireless networks?,CARDINAL
In a typical small business network, how many devices should be protected by antivirus software to ensure basic security standards are met?,CARDINAL
What is the minimum number of characters required for a secure password according to most cybersecurity guidelines?,CARDINAL
How many layers does the OSI model have that network security measures can protect?,CARDINAL
What percentage reduction in cyber threats can businesses achieve with endpoint protection on all 50 devices?,CARDINAL
How many ports are commonly monitored by intrusion detection systems (IDS) for suspicious activity in a secure network environment?,CARDINAL
In a secure Wi-Fi network, how many digits should be the minimum length of a passphrase to prevent unauthorized access?,CARDINAL
For compliance with GDPR, what is the maximum number of days companies have to report a data breach involving personal information?,CARDINAL
How many bits are typically in an SSL/TLS certificate's encryption key for it to be considered secure as of 2023?,CARDINAL
In network security training, how many hours are recommended for initial staff education on cybersecurity best practices?,CARDINAL
What is the approximate number of malware variants that emerge each day posing threats to unprotected networks?,CARDINAL
How many firewalls might a large corporation deploy across its various departments and locations to ensure comprehensive network protection?,CARDINAL
In a secure network, how many times should users ideally change their passwords within a year for enhanced security?,CARDINAL
What is the typical number of days between software updates that maintain a network's security defenses against new vulnerabilities?,CARDINAL
How many different types of firewalls exist to provide various levels and methods of network protection?,CARDINAL
For effective network segmentation, how many VLANs might a medium-sized enterprise need to securely isolate its critical systems from general use networks?,CARDINAL
What is the average number of attempted cyber attacks on small businesses per month that are thwarted by proper security measures?,CARDINAL
How many bytes make up an IPv6 address used for secure internet communication compared to the older IPv4 standard?,CARDINAL
How many common network security protocols (like HTTPS, FTPS, SFTP) should be known and implemented by a cybersecurity professional to protect data in transit effectively?,CARDINAL
When was the first major cyber attack on critical infrastructure reported?,DATE
What date marked the implementation of GDPR (General Data Protection Regulation) in Europe?,DATE
On what date did the Heartbleed bug become public knowledge?,DATE
Which date saw the introduction of WPA3 as a new Wi-Fi security protocol?,DATE
When was the NotPetya ransomware attack first observed?,DATE
What is the release date for the latest version of OpenSSL?,DATE
On which date did Facebook disclose the Cambridge Analytica data breach?,DATE
Can you provide the date when the Equifax data breach was announced to the public?,DATE
What day was the WannaCry ransomware attack launched globally?,DATE
Which specific date did Microsoft announce the end of support for Windows XP, leaving it vulnerable to threats?,DATE
On what date did Google reveal a vulnerability in Intel chips affecting network security?,DATE
When was the SHA-1 cryptographic hash function deprecated by major organizations due to security concerns?,DATE
What is the earliest recorded date of the SolarWinds supply chain attack being active?,DATE
Can you tell me the date when the EU’s NIS Directive (Network and Information Systems) became applicable for member states?,DATE
On which day did Twitter acknowledge a significant hack affecting several high-profile accounts in 2020?,DATE
What is the expected date of enforcement for California's Consumer Privacy Act (CCPA), impacting network security practices?,DATE
