Question,Entity-Type
What is the typical number of ports on a standard switch used in local area networks?,CARDINAL
How many gigabits per second does a common Gigabit Ethernet card support?,CARDINAL
In a data center, what is the minimum number of redundant power supplies recommended for a high-performance network router to ensure reliability?,CARDINAL
What is the maximum number of devices that can be connected in a single Ethernet cable without repeaters or switches according to the 10BASE2 standard?,CARDINAL
How many bits does an IPv6 address consist of, which is crucial information when configuring network hardware for future-proofing networks?,CARDINAL
What is the typical size in gigabytes for the buffer memory on a high-speed network switch designed for enterprise use?,CARDINAL
In networking, how many wires are commonly used within a standard CAT5e Ethernet cable to connect devices and support data transfer rates up to 1 Gbps?,CARDINAL
How many transceivers does a typical multi-gigabit network interface card (NIC) have to support high-speed data transmission in server environments?,CARDINAL
What is the maximum number of nodes supported by a Token Ring network, a legacy networking technology used for connecting computers in LANs?,CARDINAL
For optimal performance, what is the advised minimum number of redundant paths in a network's topology design to prevent single points of failure?,CARDINAL
How many different speed modes can a versatile NIC switch between to ensure compatibility with various networking environments and devices?,CARDINAL
In wireless networking hardware, what is the maximum number of channels available for use under IEEE 802.11n standards in the 5 GHz band?,CARDINAL
What is the typical power consumption in watts for an entry-level network firewall device aimed at small businesses or home offices?,CARDINAL
How many layers are there in the OSI model, which serves as a blueprint for networking hardware and software to ensure compatibility and functionality?,CARDINAL
For a network switch operating under normal conditions, what is the expected latency in microseconds for packet forwarding between two connected devices?,CARDINAL
What is the typical number of slots available on an enterprise-grade router for installing different types of interface cards or modules?,CARDINAL
How many bits does an IPv4 address consist of, which is a fundamental component in the configuration and operation of networking hardware?,CARDINAL
In wireless network standards like 802.11ac, what is the maximum theoretical data transfer rate in gigabits per second that can be achieved under ideal conditions?,CARDINAL
What is the typical number of RJ45 ports on a small office/home office (SOHO) router used for connecting wired devices to a network?,CARDINAL
How many channels are available in the 2.4 GHz band for use by Wi-Fi networks under IEEE 802.11b/g/n standards, excluding channels that overlap with each other?,CARDINAL
When was the first Ethernet standard, IEEE 802.3, released?,DATE
What year did Cisco Systems introduce their first router?,DATE
In which year was Wi-Fi technology commercially introduced to the public?,DATE
Can you provide the date when the first version of Bluetooth technology was introduced?,DATE
During what year did the ARPANET transition from NCP to TCP/IP protocol, marking the birth of the Internet as we know it today?,DATE
What is the release year of the first wireless networking standard, IEEE 802.11?,DATE
When was the token ring network technology standardized by IBM released?,DATE
Could you tell me the date when the first public Wi-Fi hotspot was established?,DATE
In what year did the first commercial Ethernet product become available on the market?,DATE
What is the specific launch date of the first 4G LTE network for mobile communication?,DATE
When did the first version of the networking device, switch, come into existence?,DATE
During which year were the first commercially available modems introduced to the market?,DATE
Could you provide the exact year when the concept of Network Attached Storage (NAS) was introduced by Iomega and later standardized by others in the industry?,DATE
What is the release date of the first wireless networking standard, IEEE 802.11b?,DATE
When did the first iteration of broadband technology, DSL, become commercially available to consumers?,DATE
Can you share the year when network interface cards (NICs) were initially developed for use in computers?,DATE
What is the release date of the first commercial router by Bolt Beranek and Newman Inc. (BBN)?,DATE
In what year did the industry see the introduction of Network Interface Cards (NICs) with integrated TCP/IP protocol stacks to simplify network communication?,DATE
Could you tell me when the concept of a hub was first introduced in networking hardware?,DATE
What is the specific launch date for the first wireless router that could connect multiple devices wirelessly and also provide a wired connection point?,DATE
What significant event marked the introduction of Ethernet in networking hardware?,EVENT
