Question,Entity-Type
What is the atomic number of carbon, an element crucial in organic chemistry?,CARDINAL
How many valence electrons does carbon have, making it essential for forming a variety of compounds in organic chemistry?,CARDINAL
In the simplest alkane methane (CH4), how many hydrogen atoms are bonded to the single carbon atom?,CARDINAL
What is the total number of valence electrons in an ethene (C2H4) molecule?,CARDINAL
How many pi bonds are present in a benzene ring, contributing to its stability and unique chemical properties?,CARDINAL
In organic chemistry, what is the minimum number of carbon atoms required for a compound to be classified as an alkane?,CARDINAL
What is the IUPAC nomenclature's prefix used for alkanes with 7 carbon atoms?,CARDINAL
How many isomers are possible for butanol (C4H9OH) considering its structural variations?,CARDINAL
In organic reactions, what is the typical number of unpaired electrons in a radical species that makes it highly reactive?,CARDINAL
During an SN2 reaction, how many steps does the mechanism typically involve?,CARDINAL
How many lone pairs are present on the nitrogen atom in an amine group (-NH2) in organic compounds?,CARDINAL
In organic chemistry, what is the standard pH at which a carboxylic acid with one ionizable hydrogen fully dissociates into its conjugate base and H+ ion under ideal conditions?,CARDINAL
How many resonance structures can be drawn for the nitrate ion (NO3-), an important functional group in organic synthesis?,CARDINAL
What is the number of atoms in the smallest ring that can form in stable organic compounds, excluding strained or transition state species?,CARDINAL
In a typical Grignard reaction, how many moles of magnesium metal are required per mole of alkyl halide to produce one mole of Grignard reagent?,CARDINAL
How many hydroxyl groups (-OH) does glycerol (C3H8O3), an important component in lipids and organic synthesis, possess?,CARDINAL
What is the number of carbon atoms typically found in a monosaccharide that classifies it as a triose?,CARDINAL
In the Fischer projection representation of glucose, how many chiral centers are present in its structure?,CARDINAL
How many hydrogen atoms are replaced by fluorine in hexafluorobenzene (C6F6), an example of perhalogenated aromatic compounds used in organic synthesis?,CARDINAL
What is the typical number of steps involved in a multi-step organic synthesis pathway for a complex molecule, illustrating the complexity and planning required in synthetic chemistry?,CARDINAL
When was the first synthesis of an organic compound recorded in history?,DATE
What year did Friedrich Wöhler synthesize urea from inorganic compounds marking a significant milestone in organic chemistry?,DATE
In which year was the concept of hybrid orbitals introduced by Linus Pauling for explaining molecular structures in organic chemistry?,DATE
Which date marks the discovery of penicillin, an event closely tied to advancements in bio-organic chemistry?,DATE
On what date did Marie Curie publish her findings on radioactivity, influencing the study of radioactive organic compounds?,DATE
When was the first artificial synthesis of insulin reported, impacting medicinal organic chemistry?,DATE
