Question,Entity-Type
What is the average heart rate of an adult at rest in beats per minute?,CARDINAL
How many chambers does the human heart have?,CARDINAL
At what age does puberty typically begin for females on average?,CARDINAL
Approximately how many liters of blood circulates through an adult's body?,CARDINAL
How many pairs of cranial nerves are present in humans?,CARDINAL
What is the normal pH range of human blood plasma?,CARDINAL
On average, how many ribs do adults have?,CARDINAL
How many bones are typically found in a newborn baby's skeleton?,CARDINAL
The human body contains approximately how many miles of blood vessels?,CARDINAL
About how many neurons does the human brain contain on average?,CARDINAL
How many lobes does each hemisphere of the human brain consist of?,CARDINAL
What is the typical number of vertebrae in an adult spine?,CARDINAL
On average, how many times per minute does a healthy person breathe at rest?,CARDINAL
The human small intestine is approximately how many feet long?,CARDINAL
How many milliliters of air can the human lungs typically hold during maximum capacity (total lung capacity)?,CARDINAL
What is the approximate number of taste buds on an adult tongue?,CARDINAL
Approximately how many times does the human heart beat in one day?,CARDINAL
On average, how long does it take for red blood cells to complete a single circulation through the body in seconds?,CARDINAL
How many valves are there in the human heart?,CARDINAL
What is the average number of breaths per minute during deep sleep?,CARDINAL
When was the first human genome sequenced?,DATE
What year did Louis Pasteur prove germ theory with his experiments?,DATE
In what year was the structure of DNA discovered by Watson and Crick?,DATE
During which date range did the Human Genome Project officially take place?,DATE
On what date was insulin first used to treat diabetes in a human patient?,DATE
When was the first successful heart transplant performed by Dr. Christiaan Barnard?,DATE
What year marked the discovery of the hormone adrenaline by John Jacob Abel?,DATE
During which year did Hans Selye publish his general adaptation syndrome theory on stress physiology?,DATE
In what year was the endocrine system's function in regulating metabolism first described?,DATE
On which date did Jonas Salk announce the successful polio vaccine trial results?,DATE
When was the concept of homeostasis introduced by Claude Bernard?,DATE
What year saw the discovery of the acid-fast bacteria that causes tuberculosis by Robert Koch?,DATE
During what period were the first laws of heredity formulated by Gregor Mendel published?,DATE
On which date did Edward Jenner perform his famous smallpox vaccine experiment?,DATE
When was the concept of blood pressure and its measurement established?,DATE
In what year did Frederick Banting and Charles Best discover insulin at the University of Toronto?,DATE
What is the date when the first artificial kidney dialysis machine was used successfully on a patient?,DATE
During which time frame were the laws of thermodynamics formulated that are crucial to understanding energy use in organisms?,DATE
On what specific year did Ivan Pavlov publish his Nobel Prize-winning work on conditioned reflexes?,DATE
When was the discovery and isolation of Vitamin C announced by Albert Szent-Györgyi?,DATE
How does the process of blood clotting begin in the human body?,Event
What triggers the release of insulin during digestion?,Event
Can you describe the event that initiates muscle contraction at a cellular level?,Event
What event leads to the activation of the fight-or-flight response in the sympathetic nervous system?,Event
During which event does the ovary release an egg during the menstrual cycle?,Event
What specific event causes the heart's atria and ventricles to contract in sequence?,Event
Can you explain what event triggers the sodium-potassium pump to restore ion balance across a cell membrane?,Event
In respiratory physiology, what event starts when air enters the lungs and oxygen begins diffusing into the bloodstream?,Event
What event leads to the activation of digestive enzymes during the process of digestion?,Event
During exercise, which physiological event causes lactic acid to begin accumulating in muscles?,Event
How does the body initiate the inflammatory response as an event following tissue injury or infection?,Event
What is the triggering event for the renin-angiotensin-aldosterone system when blood pressure drops?,Event
Which event marks the beginning of a neuron firing an action potential?,Event
During which physiological event does ATP begin to be produced in muscle cells during intense exercise?,Event
Can you describe the event that occurs at the start of mitosis, leading to cell division?,Event
What initiates the event known as apoptosis or programmed cell death within a cell's lifecycle?,Event
How does the body respond with an event when blood sugar levels drop significantly?,Event
In the context of cardiovascular physiology, what is the initiating event for heart rate regulation during physical activity?,Event
What event triggers the release of antidiuretic hormone (ADH) to regulate water balance in the body?,Event
During which physiological event does the body begin to break down stored glycogen into glucose?,Event
What is the primary function of the heart in human physiology?,FAC
How does the liver contribute to metabolism in the body?,FAC
Can you explain the role of the kidneys in maintaining homeostasis?,FAC
What are the main structures that make up the nervous system and their functions?,FAC
Describe the process by which lungs facilitate gas exchange.,FAC
How do muscles work together with bones to allow movement?,FAC
What is the role of the pancreas in digestion and blood sugar regulation?,FAC
Explain the function of the skin as a protective barrier against external pathogens.,FAC
How does the digestive system break down food into nutrients for absorption?,FAC
Describe the mechanisms by which the brain controls voluntary actions.,FAC
What is the importance of the spleen in filtering blood and recycling old red blood cells?,FAC
Can you explain how the thyroid gland regulates metabolism?,FAC
Explain the function of glands in secreting hormones that regulate body processes.,FAC
How do sensory organs help us perceive our environment?,FAC
What role does the stomach play in digestion by producing acid and enzymes?,FAC
Describe the importance of blood vessels in circulating blood throughout the body.,FAC
Can you explain how the reproductive system is involved in the production of gametes for reproduction?,FAC
Explain the role of the endocrine system in maintaining homeostasis through hormonal regulation.,FAC
What is the function of the immune system's organs like lymph nodes and thymus?,FAC
How do the intestines absorb nutrients from digested food?,FAC
What is the primary function of the cardiovascular system in the United States?,GPE
How does the respiratory system operate differently at high altitudes like those found in Switzerland?,GPE
