Question,Entity-Type
How many countries are there in the European Union as of 2023?,CARDINAL
What is the approximate population of China according to the latest census?,CARDINAL
How many landlocked countries are there in Africa?,CARDINAL
In which year did India gain independence from British rule, becoming a free nation?,CARDINAL
How many states make up the United States of America?,CARDINAL
What was the total number of casualties during World War II?,CARDINAL
Which year saw the fall of the Berlin Wall, marking a significant event in political geography?,CARDINAL
How many members does NATO have as of 2023?,CARDINAL
In how many time zones is Russia spread across?,CARDINAL
What is the population density of Singapore per square kilometer according to recent data?,CARDINAL
Which year did South Sudan gain independence, becoming Africa's newest nation?,CARDINAL
How many provinces does Canada consist of in total?,CARDINAL
What was the approximate number of people living under Soviet rule at its peak?,CARDINAL
In how many countries can Arabic be considered an official language?,CARDINAL
How many autonomous regions are recognized within China?,CARDINAL
How many member states does the African Union comprise?,CARDINAL
Which year did the apartheid system officially end in South Africa?,CARDINAL
How many disputed territories exist globally, with sovereignty claims by more than one country?,CARDINAL
What is the approximate number of people living in the Gaza Strip as per recent estimates?,CARDINAL
In how many countries has Spanish been designated as an official language?,CARDINAL
When was the Berlin Wall officially opened, marking a significant change in European political geography?,DATE
What year did China enact the One-China Policy, impacting its political relations with Taiwan and other nations?,DATE
In what year did India gain independence from British rule, altering the political geography of South Asia?,DATE
On which date did the Soviet Union officially dissolve, leading to significant changes in global political geography?,DATE
When was the Treaty of Tordesillas signed, dividing newly discovered lands outside Europe between Portugal and Spain?,DATE
What is the exact date when NATO was founded as a response to rising tension during the Cold War era?,DATE
On what date did East Germany and West Germany reunite after the fall of communism in Eastern Europe?,DATE
When did the United Nations adopt the Universal Declaration of Human Rights, impacting global political geography?,DATE
What year marked the establishment of ASEAN (Association of Southeast Asian Nations), influencing regional politics?,DATE
Which date saw the signing of the Maastricht Treaty, leading to the creation of the European Union?,DATE
When was the first-ever meeting held at the League of Nations, a precursor to today's United Nations?,DATE
On what date did South Africa transition from apartheid rule, changing its political landscape drastically?,DATE
What year did the Arab Spring begin, leading to significant changes in the political geography of North Africa and the Middle East?,DATE
When was the fall of the Ottoman Empire officially declared, reshaping the map of the Middle East?,DATE
Which date marks the independence of Bangladesh from Pakistan, altering South Asian political boundaries?,DATE
On what date did the Suez Crisis start in 1956, impacting British and French influence over their colonies?,DATE
When was the Yalta Conference held, which determined post-World War II borders among major Allied powers?,DATE
What is the date of the Bandung Conference that aimed to promote Afro-Asian economic and cultural cooperation?,DATE
On what date did the Korean War officially end with the signing of the armistice agreement between North Korea and South Korea?,DATE
When was the Warsaw Pact, a collective defense treaty among eight communist states in Central and Eastern Europe, established by the Soviet Union?,DATE
What were the key events leading up to the fall of the Berlin Wall?,EVENT
How did the Arab Spring affect political boundaries in North Africa and the Middle East?,EVENT
What triggered the dissolution of Yugoslavia into separate states?,EVENT
Which event marked the beginning of Brexit negotiations between the UK and EU?,EVENT
Can you describe the political implications of China's One Belt, One Road initiative on global geopolitics?,EVENT
What events led to the partition of India in 1947?,EVENT
How did the end of apartheid impact South Africa’s political geography?,EVENT
Which significant event prompted Russia's annexation of Crimea in 2014?,EVENT
What were the geopolitical consequences of the Gulf War on the Middle East's political landscape?,EVENT
Describe the political changes that occurred due to the Velvet Revolution in Czechoslovakia.,EVENT
How did the Tiananmen Square protests impact China’s domestic and international politics?,EVENT
Which event is considered a catalyst for the Rwandan Genocide, affecting its political geography drastically?,EVENT
What role did the Iran Hostage Crisis play in shaping U.S.-Iran relations?,EVENT
In what ways have the Color Revolutions influenced the political boundaries of post-Soviet states?,EVENT
How has the Syrian Civil War altered the region's political landscape and borders?,EVENT
Describe the events that led to the establishment of Israel as a state.,EVENT
What significant event triggered the unification of East and West Germany in 1990?,EVENT
Which event directly influenced the re-establishment of Estonia, Latvia, and Lithuania’s sovereignty from Soviet rule?,EVENT
How did the Korean War shape the political geography of the Korean Peninsula?,EVENT
What were the key events that led to the formation of the European Union?,EVENT
What is the capital city of France?,FAC
Which city serves as the political center for the United Kingdom's government?,FAC
Canberra is the capital of which country and acts as a significant FAC in its Political Geography?,FAC
Which major city houses Brazil’s national government and is crucial to understanding its political geography?,FAC
What city is considered the political heart of Germany?,FAC
In Japan, which city serves as the main administrative center and is key to its political geography?,FAC
What capital city is central to Egypt's Political Geography?,FAC
Which city functions as both the economic and political hub of India?,FAC
The White House is located in which FAC that is pivotal to U.S. Political Geography?,FAC
What city acts as the seat of power for Canada’s federal government?,FAC
In Russia, which city serves not only as its capital but also a key FAC reflecting its vast political geography?,FAC
Which city is recognized as the central administrative hub in Mexico's Political Geography?,FAC
Can you name the capital city that represents the heart of Turkey's political landscape and serves as a major FAC?,FAC
What city functions as the political nerve center for Italy, playing an essential role in its political geography?,FAC
Which is the primary administrative city of Spain that significantly influences its Political Geography?,FAC
In Pakistan, which city plays a key role as the seat of government and acts as a significant FAC in its Political Geography?,FAC
What city serves as both the capital and an important FAC in Poland's political geography?,FAC
Which is the central administrative city that holds great significance in Thailand’s Political Geography?,FAC
In South Africa, which city functions not only as the seat of government but also a significant FAC?,FAC
Which city is the political focal point for Argentina and serves as an important FAC in its Political Geography?,FAC
What is the capital of France?,GPE
Which country is known for having the longest coastline in the world?,GPE
How many countries share a border with Russia?,GPE
What is the primary language spoken in Brazil?,GPE
Can you name two GPEs that are landlocked by China?,GPE
Which GPE has the largest population as of 2023?,GPE
In which GPE would you find the Great Barrier Reef?,GPE
What was East Pakistan renamed to after it gained independence in 1971?,GPE
How many sovereign states are recognized in Europe today?,GPE
Which GPE is both a city and an independent country?,GPE
What is the southernmost point of South America called?,GPE
Which GPE has the highest GDP per capita in the world according to the IMF?,GPE
Can you name one of the five permanent members of the UN Security Council that is not located on the European continent?,GPE
