Question,Entity-Type
What percentage of the global population is estimated to suffer from malnutrition?,CARDINAL
How many calories per day are recommended for an average adult woman?,CARDINAL
Approximately how many children under five years old are affected by stunting worldwide?,CARDINAL
What is the daily iron requirement in milligrams for pregnant women?,CARDINAL
In a balanced diet, what percentage of total energy intake should come from carbohydrates?,CARDIANL
How many grams of dietary fiber per day are recommended to prevent constipation and other health problems?,CARDINAL
Approximately how many people worldwide suffer from vitamin A deficiency which is the leading cause of preventable blindness in children?,CARDINAL
What is the average daily salt consumption, in grams, that WHO recommends for adults to reduce their risk of cardiovascular disease?,CARDINAL
How many deaths per year are attributed to diets high in trans fats globally?,CARDINAL
According to the World Health Organization, how many kilograms should a newborn gain by age 6 months to be considered healthy growth?,CARDINAL
What is the recommended daily intake of calcium in milligrams for adults to maintain bone health?,CARDINAL
How many million people worldwide are obese according to the latest WHO statistics?,CARDINAL
The World Health Organization recommends no more than how many grams of sugar per day for a 2000-calorie diet?,CARDINAL
Approximately how many deaths globally each year can be attributed to poor diets and nutrition-related risk factors?,CARDINAL
How many essential amino acids must be obtained through the diet as they cannot be synthesized by the human body?,CARDINAL
What is the minimum number of fruits and vegetables in grams recommended per day for an adult to reduce chronic disease risks according to WHO guidelines?,CARDINAL
The daily recommendation of vitamin C intake in milligrams for non-smoking adults is approximately how much?,CARDINAL
How many minutes per week does WHO recommend for physical activity as part of public health nutrition guidelines?,CARDINAL
About how many children under five are overweight or obese globally, a condition associated with high-calorie diets and low physical activity levels?,CARDINAL
What percentage of the world’s population is estimated to be iron deficient, leading to anemia and other severe health issues?,CARDINAL
When was the first World Public Health Nutrition Conference held?,DATE
What year did the global initiative to reduce salt intake in the diet begin?,DATE
In which year was the concept of "Five-a-Day" for fruit and vegetable consumption popularized globally?,DATE
Which year marked the start of the Global Strategy on Diet, Physical Activity and Health by WHO?,DATE
When did the United Nations declare access to adequate food a component of the right to an adequate standard of living?,DATE
What date was the International Day of Action for Women's Health established?,DATE
In what year did the World Health Organization launch its Global Database on the Implementation of Nutrition Actions (GINA)?,DATE
When was the first National School Lunch Program Act passed in the United States?,DATE
Which year saw the introduction of the Dietary Guidelines for Americans by the U.S. Department of Agriculture and the U.S. Department of Health and Human Services?,DATE
On what date did the World Health Organization announce a global target to reduce premature mortality from non-communicable diseases by 25% by 2025?,DATE
When was the International Day of Epidemic Preparedness first observed?,DATE
What year marked the introduction of fortification standards for salt with iodine in many countries globally?,DATE
In which year did the Codex Alimentarius Commission, a joint FAO/WHO body, publish its first set of Guidelines on Nutrition Labelling and Claims?,DATE
When was the International Day of Older Persons, aimed at addressing nutrition and health issues specific to older populations, first celebrated?,DATE
What date marks the annual World Breastfeeding Week, which focuses on public health nutrition for infants?,DATE
Which year did the Global Alliance for Improved Nutrition (GAIN) launch its program to combat hidden hunger through food fortification and dietary diversification?,DATE
When was the first "World Food Day" observed, highlighting issues related to global nutrition and food security?,DATE
What date does the International Day of Awareness of Food Loss and Waste observe annually?,DATE
In which year did the World Health Organization issue its recommendation for sugar intake reduction in adults and children?,DATE
When was the first National Nutrition Month celebrated in the United States, aimed at bringing attention to the importance of making informed food choices and developing sound eating and physical activity habits?,DATE
What were the key outcomes of the 2015 World Public Health Nutrition Conference?,EVENT
When was the first National Nutritional Month celebrated in the United States?,EVENT
How did the International Congress on Vegetarian Nutrition influence public health policies in its latest edition?,EVENT
Which significant changes occurred during the European Public Health Nutrition Week in 2018?,EVENT
What initiatives were launched at the Global Summit on Food and Nutrition Security in 2019?,EVENT
Can you describe the impact of the International Day of School Meals on public health nutrition efforts globally since its inception?,EVENT
How did the World Health Organization's Nutrition Action Plan launch event shape global nutritional standards in 2020?,EVENT
What was discussed at the Food and Agriculture Policy Dialogue for Public Health during the United Nations General Assembly in 2017?,EVENT
Describe the outcomes of the International Conference on Maternal, Adolescent, Reproductive and Child Nutrition held in 2016.,EVENT
How did the Nutrition and Physical Activity Advocacy Summit impact public health policies in 2014?,EVENT
What were the main debates at the Public Health Nutrition Symposium held at Harvard University in 2013?,EVENT
Can you summarize the actions taken during the United Nations High-Level Meeting on Non-Communicable Diseases related to nutrition in 2018?,EVENT
Which key decisions came out of the International Food Policy Research Institute's Annual Conference focused on Public Health Nutrition in 2021?,EVENT
What was the role of the WHO's Global Forum on Food Safety and Nutrition held in Geneva in shaping global nutritional guidelines in 2019?,EVENT
How did the International Congress on Dietetics contribute to public health nutrition advancements when it was last hosted in Europe in 2018?,EVENT
Which innovations were highlighted during the World Nutrition Congress' session on Public Health Nutrition in 2017?,EVENT
What discussions took place at the Asia-Pacific Economic Cooperation (APEC) Food Security and Nutrition Forum regarding public health nutrition strategies in 2020?,EVENT
Can you provide insights into how the Global School Feeding Day celebrations promoted nutritional awareness among school children in various countries in 2019?,EVENT
How did the Pan American Health Organization's event on Childhood Obesity Prevention affect policy changes in the Americas region in 2016?,EVENT
What were the key learnings from the International Conference on Nutrition and Disease held in Rome, focusing on public health nutrition strategies in 2015?,EVENT
What are the primary dietary recommendations for preventing cardiovascular diseases according to public health nutritionists?,FAC
How does public health nutrition address the issue of obesity in children and adolescents?,FAC
In what ways do public health nutrition policies aim to reduce sugar consumption among adults?,FAC
Can you explain how community-based interventions in public health nutrition help improve dietary habits in low-income areas?,FAC
What role does public health nutrition play in developing school meal programs that promote healthy eating?,FAC
How does public health nutrition assess the nutritional impact of fortifying staple foods with vitamins and minerals?,FAC
Could you discuss how public health nutritionists work to integrate plant-based diets into public policy recommendations for sustainability reasons?,FAC
What strategies are employed by public health nutritionists to combat micronutrient deficiencies in developing countries?,FAC
How do guidelines set by public health nutrition impact the reformulation of processed foods to be healthier?,FAC
In what ways does public health nutrition influence food labeling laws to help consumers make informed choices about their diet?,FAC
What measures have been taken by public health nutritionists to encourage breastfeeding as a key component of early childhood nutrition programs?,FAC
How do public health nutrition policies support the inclusion of diverse and culturally appropriate foods in community-based nutrition programs?,FAC
Can you describe how public health nutrition strategies are used to address food insecurity among vulnerable populations such as the elderly or those with disabilities?,FAC
What is the role of public health nutritionists in advocating for regulations that limit marketing unhealthy foods to children?,FAC
How do public health nutrition guidelines support the development and implementation of urban agriculture initiatives aimed at increasing access to fresh produce?,FAC
In what ways does public health nutrition impact the design and operation of food banks to ensure they provide nutritious options?,FAC
Could you explain how public health nutritionists collaborate with other sectors like education or social services to create comprehensive policies that promote healthy eating habits?,FAC
What role do public health nutritionists play in creating educational materials for schools to teach children about the importance of a balanced diet?,FAC
How does public health nutrition influence the development of guidelines for food service providers in hospitals and long-term care facilities to ensure they offer nutritious meals?,FAC
In what ways can public health nutrition be used to support the integration of gardening programs into school curriculums to promote healthier eating among students?,FAC
