Question,Entity-Type
What is the average number of surgeries performed in a major hospital per day?,CARDINAL
How many types of surgical procedures are listed under general surgery?,CARDINAL
In what year was minimally invasive surgery first successfully performed on a human patient?,CARDINAL
Approximately how many hours does it take to complete an open-heart surgery operation?,CARDINAL
What percentage of surgeries in the United States involve robotic assistance as of 2023?,CARDINAL
How many years of training are typically required to become a board-certified surgeon?,CARDINAL
How many incisions are usually made during laparoscopic gallbladder removal surgery?,CARDINAL
By what year is it predicted that over 50% of surgeries will be performed robotically in the United States?,CARDINAL
What is the typical length, in centimeters, of an incision for a traditional open appendectomy?,CARDINAL
How many surgeons are estimated to operate on more than 100 patients per year globally?,CARDINAL
How many surgical techniques have been developed specifically for pediatric heart surgery since its inception?,CARDINAL
What is the average recovery time, in days, after an elective hernia repair surgery without complications?,CARDINAL
How many medical schools worldwide offer specialized training programs in neurosurgery as of 2023?,CARDINAL
In what year did the first successful organ transplant occur between two humans?,CARDINAL
Approximately how many surgeries does a surgeon perform annually, on average, to maintain their surgical proficiency?,CARDINAL
What is the approximate number of surgeons globally specializing in plastic and reconstructive surgery as of 2023?,CARDINAL
How many different types of anesthetic agents are commonly used during surgical procedures worldwide?,CARDINAL
In what year did robotic-assisted surgeries first become widely available to hospitals across the United States?,CARDINAL
What is the estimated number of patients who undergo elective cosmetic surgery each year in the United States?,CARDINAL
How many days does it typically take for a patient to recover from an uncomplicated joint replacement surgery?,CARDINAL
When was the first successful kidney transplant performed?,DATE
What date marked the introduction of laparoscopic surgery in surgical medicine?,DATE
On what date did the FDA approve the da Vinci Surgical System for general use?,DATE
Can you provide the year when the first heart transplant took place?,DATE
Which year saw the inception of minimally invasive cardiac surgery techniques?,DATE
When was the world's first liver transplant operation conducted?,DATE
What is the date of the initial approval for robotic-assisted surgery systems by regulatory bodies?,DATE
Could you tell me the date when surgical robots were first used in a clinical setting?,DATE
On what date did keyhole surgery become widely accepted in medical practice?,DATE
When was the landmark trial demonstrating the effectiveness of robotic surgery published?,DATE
What year marked the significant decline in post-operative infections due to improved surgical techniques?,DATE
Could you provide the date when antibiotic prophylaxis before surgery became a standard practice?,DATE
On which date were surgical masks first mandated in operating rooms to prevent infection?,DATE
When did the use of antibiotics during surgery start becoming common practice to reduce infection rates?,DATE
What year saw the introduction of the concept of 'sterile technique' by Joseph Lister?,DATE
Could you give me the date when blood transfusions became routine in surgical procedures?,DATE
On what date was the first successful organ transplant performed without the use of immunosuppressive drugs announced?,DATE
When did general anesthesia become widely used in surgical medicine?,DATE
What is the date associated with the discovery and subsequent use of antiseptics in surgery by Lister?,DATE
Could you tell me when the concept of aseptic technique was introduced to reduce surgical infection rates?,DATE
What are the key events leading up to the development of minimally invasive surgery?,EVENT
When was the first successful organ transplant performed in medical history?,EVENT
How did the introduction of anesthesia impact surgical procedures in the 19th century?,EVENT
Can you describe the event when laparoscopic surgery became a standard practice?,EVENT
What triggered the shift from open-heart surgery to minimally invasive cardiac procedures?,EVENT
When was the first successful kidney transplant performed, marking a significant milestone in transplantation medicine?,EVENT
Which event marked the beginning of robotic-assisted surgeries becoming widely accepted in hospitals around the world?,EVENT
Can you identify when and where the first live-streamed surgical procedure took place for educational purposes?,EVENT
What major event influenced the widespread adoption of endoscopic techniques in surgical practices?,EVENT
How did the invention of sutures significantly change surgical outcomes during historical battles or conflicts?,EVENT
When was the first time a surgical robot was used to perform an operation independently without human assistance?,EVENT
Can you pinpoint when virtual reality began being used as a training tool for surgeons in surgical medicine?,EVENT
What event marked the introduction and acceptance of 3D printing technology in pre-surgical planning and custom implants creation?,EVENT
When did the use of antibiotics during surgery become standard practice, significantly reducing post-operative infections?,EVENT
Which historical event led to the establishment of sterile techniques in operating theaters, drastically improving patient survival rates?,EVENT
What was a significant event that led to the development of artificial organs for surgical implantation?,EVENT
How did the discovery of the human genome impact genetic surgery and personalized medicine in surgical procedures?,EVENT
When did telemedicine begin playing a role in remote surgical consultations and procedures?,EVENT
Can you discuss an important event related to the implementation of AI algorithms in aiding surgeons during complex operations?,EVENT
What significant event spurred the development and integration of nanotechnology in surgical treatments for cancer?,EVENT
What is the primary function of a scalpel in surgical procedures?,FAC
How does a laparoscope assist surgeons during minimally invasive surgeries?,FAC
In surgical medicine, what role do forceps play in patient care?,FAC
Can you explain how surgical retractors are used to improve visibility during operations?,FAC
What is the significance of a hemostat in controlling bleeding during surgery?,FAC
How does an electrocautery device function to cut and coagulate tissue?,FAC
In what ways do surgical scissors differ from regular scissors for medical procedures?,FAC
Describe the importance of sutures in closing wounds post-surgery.,FAC
What is the purpose of a needle driver during suturing processes in surgery?,FAC
How does an endoscope support internal examination without open surgery?,FAC
Can you explain the function of a biopsy forceps in collecting tissue samples for analysis?,FAC
What role do surgical clamps play in temporarily closing off blood vessels or hollow organs during operations?,FAC
Explain how a scalpel handle and blade work together to perform precise cuts.,FAC
How does an ultrasound machine assist surgeons in visualizing internal structures during surgery?,FAC
In surgical medicine, what is the primary use of a bone saw for orthopedic procedures?,FAC
What role do surgical gloves play in maintaining sterile conditions during operations?,FAC
Describe how a laser scalpel improves precision and reduces bleeding compared to traditional scalpels.,FAC
How does an arthroscope aid surgeons in diagnosing and treating joint problems without invasive surgery?,FAC
