Question,Entity-Type
What is the absolute zero temperature in Kelvin?,CARDINAL
At what temperature does water boil at sea level in Celsius?,CARDINAL
How many laws are there in classical thermodynamics?,CARDINAL
What is the specific heat capacity of water in J/(kg·K)?,CARDINAL
What is the approximate value of the gas constant R in Joules per Kelvin mole?,CARDINAL
In a Carnot cycle, if the efficiency is 40%, what does this percentage represent as a fraction in decimal form?,CARDINAL
How many joules are equivalent to one calorie in energy conversion?,CARDINAL
What is the typical value of Boltzmann's constant in Joules per Kelvin (J/K)?,CARDINAL
In thermodynamics, what is the number of states of matter typically recognized at standard conditions?,CARDINAL
At what temperature does water freeze in degrees Celsius?,CARDINAL
How many phases can a material exist in during a phase transition according to classical thermodynamics?,CARDINAL
What is the average thermal conductivity of copper in W/(m·K) at room temperature?,CARDINAL
If an ideal gas expands from 1 liter to 2 liters, by what factor does its volume increase?,CARDINAL
How many degrees of freedom do monatomic gases have according to the equipartition theorem?,CARDINAL
What is the value of Stefan-Boltzmann constant in W/(m^2·K^4)?,CARDINAL
In a thermodynamic system, how many extensive properties are there typically mentioned such as volume and entropy?,CARDINAL
How much energy is approximately released per gram when hydrogen reacts with oxygen to form water (in kJ/g)?,CARDINAL
What is the typical coefficient of performance for an ideal refrigerator operating between 273K and 293K?,CARDINAL
How many types of heat transfer are commonly recognized in thermodynamics: conduction, convection, and radiation?,CARDINAL
At what temperature does absolute zero occur in degrees Celsius?,CARDINAL
When was the first law of thermodynamics formulated?,DATE
What date marks the discovery of the Joule-Thomson effect?,DATE
On what date did James Prescott Joule publish his findings on the mechanical equivalent of heat?,DATE
Can you provide the date when Sadi Carnot published "Reflections on the Motive Power of Fire"?,DATE
Which date is associated with Rudolf Clausius' introduction of the concept of entropy in thermodynamics?,DATE
What was the date when Lord Kelvin proposed his absolute temperature scale?,DATE
When did James Clerk Maxwell publish his work that included statistical mechanics, which is closely related to thermodynamics?,DATE
Could you tell me the date on which Josiah Willard Gibbs wrote his famous paper "On the Equilibrium of Heterogeneous Substances"?,DATE
What specific date was the third law of thermodynamics postulated by Walther Nernst?,DATE
Can you give me the exact date when the first steam engine, a significant application of thermodynamic principles, was patented by Thomas Savery?,DATE
When did the publication of "Principia: Mathematical Principles of Natural Philosophy" occur which laid foundational work for classical thermodynamics?,DATE
What is the date on which John Tyndall demonstrated that gases could absorb radiant heat (infrared radiation), a critical insight in thermodynamics?,DATE
Could you provide the date when Max Planck introduced quantum theory, which later influenced modern thermodynamic theory?,DATE
On what date did Ludwig Boltzmann publish his work on statistical interpretation of entropy and its relation to probability and disorder?,DATE
Can you give me the date on which Nikolaus Otto patented the first internal combustion engine, a practical application of thermodynamics principles?,DATE
What was the specific date when Arthur Eddington introduced the concept of negative absolute temperature through thought experiments in quantum physics?,DATE
Could you tell me the exact date on which Svante Arrhenius published his work on reaction rates and Gibbs free energy, advancing chemical thermodynamics?,DATE
When did Pierre Duhem publish "The Potential Energy and Thermodynamics," integrating mechanics with thermodynamic theory?,DATE
What is the precise date when Einstein's paper on Brownian motion was published, providing experimental evidence for atomistic theories which underpin much of modern thermodynamics?,DATE
Could you give me the exact date when Richard Feynman wrote his thesis introducing path integrals to quantum electrodynamics, a concept that also has implications in statistical mechanics and thermodynamics?,DATE
What event marks the beginning of thermodynamics as a scientific discipline?,EVENT
How was the first law of thermodynamics established in history?,EVENT
When did James Prescott Joule conduct his famous experiments on mechanical equivalent of heat?,EVENT
Which historical event led to the formulation of the second law of thermodynamics by Rudolf Clausius?,EVENT
What significant event prompted the introduction of entropy as a concept in thermodynamics?,EVENT
Can you describe the event where Sadi Carnot introduced the concept of efficiency in engines which later became fundamental to thermodynamics?,EVENT
Which conference or meeting is considered pivotal for advancing the principles of statistical mechanics, closely tied with thermodynamics?,EVENT
What historical experiment by Joule and Thomson led to a deeper understanding of gas cooling upon expansion, now known as the Joule-Thomson effect?,EVENT
When was the concept of absolute zero first conceived in relation to temperature scales used in thermodynamics?,EVENT
Which event involved the development of the Kelvin scale, which is crucial for calculations in thermodynamics?,EVENT
How did the St. Petersburg Paradox contribute to the discussions around energy transformations and conservation principles in thermodynamics?,EVENT
What conference or symposium was pivotal in discussing the third law of thermodynamics and its implications on absolute zero temperatures?,EVENT
Can you identify an event where the Carnot cycle was demonstrated experimentally, proving fundamental concepts in thermodynamic efficiency?,EVENT
Which specific event led to the understanding that thermal equilibrium between systems occurs at equal temperatures?,EVENT
What is the historical context or event that led Ludwig Boltzmann to formulate his equation linking entropy and probability, a cornerstone of statistical thermodynamics?,EVENT
How did Michael Faraday's experimental work influence the theoretical development in thermodynamics during the 19th century?,EVENT
Which event marks the first practical application of thermodynamic principles in improving steam engine efficiency?,EVENT
Can you describe an event where Maxwell's demon was introduced, illustrating thought experiments about entropy and information theory within thermodynamics?,EVENT
What significant experiment or event demonstrated that heat could be transferred from a colder to a hotter body if work is done on the system, challenging earlier conceptions of thermodynamics?,EVENT
Which event led to the discovery of the phase transitions in materials, which are central to understanding changes in states like solid, liquid, and gas under different conditions of temperature and pressure as studied in thermodynamics?,EVENT
What is the role of Carnot in the development of thermodynamics?,FAC
Who developed the concept of entropy in thermodynamics?,FAC
Which scientist formulated the Zeroth Law of Thermodynamics?,FAC
Can you name a physicist who contributed to the First Law of Thermodynamics?,FAC
Who is associated with the Second Law of Thermodynamics and the concept of entropy increase?,FAC
What contributions did Sadi Carnot make to thermodynamics?,FAC
Which scientist is known for his work on thermoelectricity, a branch of thermodynamics?,FAC
Can you identify the physicist who introduced the concept of absolute temperature scale important in thermodynamics?,FAC
Who is credited with formulating the Third Law of Thermodynamics?,FAC
What notable contributions did Rudolf Clausius make to the field of thermodynamics?,FAC
Which scientist's work on irreversible processes has been influential in non-equilibrium thermodynamics?,FAC
Who developed the statistical interpretation of entropy, linking it to molecular motion and probability?,FAC
