Question,Entity-Type
How many years did World War I last?,CARDINAL
What was the total number of countries involved in World War II?,CARDINAL
Approximately how many soldiers died in World War I?,CARDINAL
How old was Winston Churchill when he became Prime Minister during World War II?,CARDINAL
In which year did World War I officially end with the signing of the Treaty of Versailles?,CARDINAL
What is the approximate number of civilians who died as a result of World War II?,CARDINAL
During World War II, how many atomic bombs were dropped on Japan by the United States?,CARDINAL
How many days was the Battle of Stalingrad fought in World War II?,CARDINAL
In what year did World War II begin with Germany's invasion of Poland?,CARDINAL
What was the approximate number of Jews killed during the Holocaust in World War II?,CARDINAL
How many battleships were sunk by the Japanese at Pearl Harbor on December 7, 1941?,CARDINAL
During World War I, how many countries formed the Allied Powers coalition against the Central Powers?,CARDINAL
In which year did the Battle of the Somme take place during World War I?,CARDINAL
What is the approximate number of military deaths in the Russian Empire during World War I?,CARDINAL
How old was Adolf Hitler when he started his invasion of Poland, beginning World War II?,CARDINAL
During World War II, how many countries were involved in the D-Day landings on June 6, 1944?,CARDINAL
What year did the Treaty of Brest-Litovsk end Russia's involvement in World War I with Germany?,CARDINAL
How many major battles were fought during World War I involving British forces?,CARDINAL
Approximately how many tanks were used by all sides combined during World War II?,CARDINAL
In which year was the armistice signed to stop the fighting of World War I on November 11?,CARDINAL
When did World War I officially begin?,DATE
What date was the Treaty of Versailles signed, ending World War I?,DATE
On what date did Germany invade Poland, marking the start of World War II?,DATE
When was D-Day, the Allied invasion of Normandy during World War II?,DATE
What is the exact date when Japan surrendered in World War II, officially ending the conflict?,DATE
On which day was the Battle of Stalingrad considered to have ended in World War II?,DATE
Can you provide the date when the United States entered World War I?,DATE
When did World War II conclude in Europe with VE Day?,DATE
What is the specific date that marked the beginning of the Battle of Britain in World War II?,DATE
On what date was the Battle of Midway fought, a pivotal moment in World War II's Pacific theater?,DATE
Which day saw the signing of the Molotov-Ribbentrop Pact between Germany and the Soviet Union before World War II began?,DATE
When did Italy enter World War I on the side of the Allies?,DATE
Can you tell me the date when Operation Barbarossa, the German invasion of the Soviet Union, started during World War II?,DATE
What was the date of the Battle of El Alamein's first phase start in North Africa during World War II?,DATE
On what date did Japan launch its surprise attack on Pearl Harbor, bringing the United States into World War II?,DATE
When was the start of Operation Overlord, also known as D-Day, during World War II?,DATE
Could you provide the exact date when the Battle of Berlin ended in 1945?,DATE
What is the date considered to be the beginning of the Holocaust by Nazi Germany?,DATE
On which date did the Soviet Union declare war on Japan, entering into the final stages of World War II?,DATE
When was the first atomic bomb dropped on Hiroshima during World War II?,DATE
What event marked the beginning of World War I?,EVENT
When did the United States officially enter World War II?,EVENT
Which battle is considered the turning point in the Eastern Front during World War II?,EVENT
What was the significance of the Battle of Stalingrad during World War II?,EVENT
How did the Treaty of Versailles affect the aftermath of World War I?,EVENT
Can you name the event that led to the United States entering World War I?,EVENT
Which naval battle is considered a major turning point in the Pacific Theater of World War II?,EVENT
What was the outcome of the Battle of Britain during World War II?,EVENT
In which year did the Battle of Verdun take place during World War I?,EVENT
How did the use of trench warfare change military tactics during World War I?,EVENT
Which event is considered to have ended World War II in Europe?,EVENT
What was the significance of the Battle of Midway during World War II?,EVENT
Can you describe the impact of the Battle of the Somme on World War I's Western Front?,EVENT
How did the D-Day invasion change the course of World War II?,EVENT
Which event led to the end of World War I with the armistice agreement?,EVENT
What role did the Battle of Kursk play in turning the tide for the Allies during World War II?,EVENT
When was the Battle of El Alamein fought, and why is it significant in the context of World War II?,EVENT
How did the invasion of Normandy on D-Day affect the course of World War II?,EVENT
What was the significance of the Yalta Conference held towards the end of World War II?,EVENT
Which event led to the start of the Russian Revolution, impacting World War I's outcome?,EVENT
What was the primary location of the Battle of Verdun during World War I?,FAC
Which city became famously known as the 'Gateway to Hell' due to its intense battles in World War I?,FAC
Where was the Gallipoli Campaign fought during World War I?,FAC
In which European country did most of World War II's Eastern Front battles occur?,FAC
What significant naval battle took place at Midway Island during World War II?,FAC
Which European city hosted the signing of the Treaty of Versailles that ended World War I?,FAC
Where was the infamous Battle of Stalingrad fought in World War II?,FAC
In which French location did Allied forces launch a major invasion on D-Day during World War II?,FAC
What is the name of the Polish city where the German-Soviet Invasion began in 1939?,FAC
Which British airfield was heavily involved in the Battle of Britain?,FAC
Where did the Japanese attack that led to the United States entering World War II take place?,FAC
In which Italian city was the Armistice signed marking the end of Italy's participation in World War I?,FAC
What is the name of the German military operation launched against Russia on June 22, 1941?,FAC
Which French fortress is notable for its lengthy resistance during World War II before being captured by Germany?,FAC
Where did the first nuclear bomb used as a weapon detonate during World War II?,FAC
What significant conference took place in Yalta involving leaders from three countries to discuss post-World War II planning?,FAC
In which French city did Charles de Gaulle make his famous speech calling for resistance against Nazi occupation at the start of World War II?,FAC
Which British ship was sunk by a German U-boat, leading to significant loss of life and strengthening American resolve to enter World War I?,FAC
Where were the Nuremberg Trials held after World War II to prosecute major war criminals?,FAC
What French port city became the scene for one of the bloodiest battles in history during World War I?,FAC
What countries were part of the Central Powers during World War I?,GPE
Which European country initiated World War II with the invasion of Poland in 1939?,GPE
How did the Soviet Union contribute to the defeat of Nazi Germany in World War II?,GPE
During World War II, which Asian country was a key member of the Axis powers alongside Germany and Italy?,GPE
What role did the United States play in both World Wars?,GPE
Which African territories were battlegrounds during World War I?,GPE
How significant was the Battle of Stalingrad for the Soviet Union's war effort against Nazi Germany in WWII?,GPE
In World War II, which Southeast Asian country became a focus of Japanese expansion and Allied resistance?,GPE
What impact did World War I have on the dissolution of the Ottoman Empire?,GPE
Which Latin American countries declared war on the Axis powers during World War II?,GPE
How did the United Kingdom's involvement in both World Wars shape its global influence post-conflict?,GPE
During World War I, which Middle Eastern territories were affected by the collapse of the Ottoman Empire and the Sykes-Picot Agreement?,GPE
Which European country was a major battlefield during World War II and saw significant resistance movements against Nazi occupation?,GPE
How did China's participation in World War II affect its international status at the end of the conflict?,GPE
What role did Canada play as part of the British Commonwealth during both World Wars?,GPE
Which African colonies were involved in supporting Allied forces during World War II?,GPE
In what ways did India contribute to the Allied war effort during World War II under British colonial rule?,GPE
How did France's defeat and occupation by Germany affect its empire during World War II?,GPE
What was the impact of World War I on the geopolitical landscape of Eastern Europe, particularly in countries like Poland and Czechoslovakia?,GPE
Which Asian country was invaded by Japan after the signing of the Soviet-Japanese Neutrality Pact but later became a battleground in World War II?,GPE
What language was primarily used for communication in the Allied forces during World War II?,LANGUAGE
Which language did the Axis powers predominantly use for their official documents and orders during World War II?,LANGUAGE
How many languages were officially spoken within the territories of countries involved in World War I?,LANGUAGE
In which language were most of the treaties ending World War I written?,LANGUAGE
What role did translation services play in facilitating communication between different Allied nations during World War II?,LANGUAGE
During World War II, what was the significance of the Navajo language used by the US military for secure communications?,LANGUAGE
Which language became a unifying factor among soldiers from various countries fighting under the French flag during World War I?,LANGUAGE
How did the use of multilingual radio broadcasts affect propaganda efforts in World War II?,LANGUAGE
What impact did the lack of a common language have on logistics and coordination between British and American forces during World War II?,LANGUAGE
Why was Russian considered an important language for intelligence officers working with Eastern European allies during both world wars?,LANGUAGE
How were messages encoded using different languages to ensure secrecy in naval communications during World War I?,LANGUAGE
What role did the translation of intercepted enemy communications play in turning the tide of battles during World Wars?,LANGUAGE
Which language was primarily used by German commanders for issuing orders during World War II, and how did this influence tactical decisions on the battlefield?,LANGUAGE
How did the knowledge of multiple languages among soldiers contribute to intelligence gathering on the front lines during World War I?,LANGUAGE
What strategies were employed to train multilingual soldiers for espionage missions in enemy territories during both world wars?,LANGUAGE
In what ways did the widespread use of English as a second language amongst allies benefit communication efforts during World War II?,LANGUAGE
How did the International Commercial Secretariat's use of multiple languages impact the coordination and efficiency of war-related commerce during World Wars I and II?,LANGUAGE
What was the role of Latin in diplomatic communications between warring nations at the beginning of World War I?,LANGUAGE
Which language became most influential as a result of the expansion of empires involved in World War I, particularly for the purpose of administration in newly conquered territories?,LANGUAGE
How did the diversity of languages spoken by soldiers affect morale and unit cohesion within multinational divisions during World War II?,LANGUAGE
